,title,authors,comment,subjects,abstract,nb_of_aut
0,Keck Integral-Field Spectroscopy of M87 Reveals an Intrinsically Triaxial Galaxy and a Revised Black Hole Mass,"['Emily R. Liepold', 'Chung-Pei Ma', 'Jonelle L. Walsh']","Accepted for publication in ApJL. 15 pages, 8 figures",Astrophysics of Galaxies (astro-ph.GA),"The three-dimensional intrinsic shape of a galaxy and the mass of the centralsupermassive black hole provide key insight into the galaxy's growth historyover cosmic time. Standard assumptions of a spherical or axisymmetric shape canbe simplistic and can bias the black hole mass inferred from the motions ofstars within a galaxy. Here we present spatially-resolved stellar kinematics ofM87 over a two-dimensional $250\mbox{$^{\prime\prime}$} \times300\mbox{$^{\prime\prime}$}$ contiguous field covering a radial range of 50 pcto 12 kpc from integral-field spectroscopic observations at the Keck IITelescope. From about 5 kpc and outward, we detect a prominent 25$\mathrm{km~s}^{-1}$ rotational pattern, in which the kinematic axis(connecting the maximal receding and approaching velocities) is $40^\circ$misaligned with the photometric major axis of M87. The rotational amplitude andmisalignment angle both decrease in the inner 5 kpc. Such misaligned andtwisted velocity fields are a hallmark of triaxiality, indicating that M87 isnot an axisymmetrically shaped galaxy. Triaxial Schwarzschild orbit modelingwith more than 4000 observational constraints enabled us to determinesimultaneously the shape and mass parameters. The models incorporate a radiallydeclining profile for the stellar mass-to-light ratio suggested by stellarpopulation studies. We find that M87 is strongly triaxial, with ratios of$p=0.845$ for the middle-to-long principal axes and $q=0.722$ for theshort-to-long principal axes, and determine the black hole mass to be$(5.37^{+0.37}_{-0.25}\pm 0.22)\times 10^9 M_\odot$, where the second errorindicates the systematic uncertainty associated with the distance to M87.",3
1,$\mathrm{morphofit}$: an automated galaxy structural parameters fitting package,"['Luca Tortorelli', 'Amata Mercurio']","Accepted for publication in Frontiers of Astronomy and Space Sciences, 27 pages, 8 figures",Astrophysics of Galaxies (astro-ph.GA),"In today's modern wide-field galaxy surveys, there is the necessity forparametric surface brightness decomposition codes characterised by accuracy,small degree of user intervention, and high degree of parallelisation. We tryto address this necessity by introducing $\mathrm{morphofit}$, a highlyparallelisable $\mathrm{Python}$ package for the estimate of galaxy structuralparameters. The package makes use of wide-spread and reliable codes, namely$\mathrm{SExtractor}$ and $\mathrm{GALFIT}$. It has been optimised and testedin both low-density and crowded environments, where blending and diffuse lightmakes the structural parameters estimate particularly challenging.$\mathrm{morphofit}$ allows the user to fit multiple surface brightnesscomponents to each individual galaxy, among those currently implemented in thecode. Using simulated images of single Sérsic and bulge plus disk galaxylight profiles with different bulge-to-total luminosity ($\mathrm{B/T}$)ratios, we show that $\mathrm{morphofit}$ is able to recover the inputstructural parameters of the simulated galaxies with good accuracy. We alsocompare its estimates against existing literature studies, finding consistencywithin the errors. We use the package in Tortorelli et al. 2023 to measure thestructural parameters of cluster galaxies in order to study the wavelengthdependence of the Kormendy relation of early-type galaxies. The package isavailable on github (this https URL) and on the Pypiserver (this https URL).",2
2,"The Kormendy relation of early-type galaxies as a function of wavelength in Abell S1063, MACS J0416.1-2403 and MACS J1149.5+2223","['L. Tortorelli', 'A. Mercurio', 'G. Granata', 'P. Rosati', 'C. Grillo', 'M. Nonino', 'A. Acebron', 'G. Angora', 'P. Bergamini', 'G. B. Caminha', 'U. Meštrić', 'E. Vanzella']","Submitted to Astronomy and Astrophysics in the form of letter to the Editor, 5 pages, 1 figure, 1 table",Astrophysics of Galaxies (astro-ph.GA),"The wavelength dependence of the Kormendy relation (KR) is well characterisedat low-redshift, but poorly studied at intermediate redshifts. The KR providesinformation on the evolution of the population of early-type galaxies (ETGs),therefore, by studying it, we may shed light on the assembly processes of theseobjects and their size evolution. Since studies at different redshifts aregenerally conducted in different rest-frame wavebands, investigating whetherthere is a wavelength dependence of the KR is fundamental to interpret theconclusions we might draw from it. We analyse the KRs of the three HubbleFrontier Fields clusters, Abell S1063 (z = 0.348), MACS J0416.1-2403 (z =0.396), and MACS J1149.5+2223 (z = 0.542), as a function of wavelength. This isthe first time the KR of ETGs has been explored consistently in such a largerange of wavelength at intermediate redshifts. We exploit very deep HSTphotometry, ranging from the observed B-band to the H-band, and VLT/MUSEintegral field spectroscopy. We improve the structural parameters estimation weperformed in a previous work (Tortorelli et al. 2018) by means of a newlydeveloped Python package called morphofit (Tortorelli&Mercurio 2023). With itsuse on cluster ETGs, we find that the KR slopes smoothly increase withwavelength from the optical to the near-infrared bands in all three clusters,with the intercepts getting fainter at lower redshifts due to the passivisationof the ETGs population. The slope trend is consistent with previous findings atlower redshifts. The slope increase with wavelength implies that smaller sizeETGs are more centrally concentrated than larger size ETGs in the near-infraredwith respect to the optical regime. Since different bands probe differentstellar populations in galaxies, the slope increase also implies that smallerETGs have stronger internal gradients with respect to larger ETGs.",12
3,WALLABY Pilot Survey: Hydra Cluster Galaxies UV and HI morphometrics,"['Benne W. Holwerda', 'Frank Bigiel', 'Albert Bosma', 'Helene M. Courtois', 'Nathan Deg', 'Helga Dénes', 'Ahmed Elagali', 'Bi-Qing For', 'Baerbel Koribalski', 'Denis A. Leahy', 'Karen Lee-Waddell', 'Ángel R. López-Sánchez', 'Se-Heon Oh', 'Tristan N. Reynolds', 'Jonghwan Rhee', 'Kristine Spekkens', 'Jing Wang', 'Tobias Westmeier', 'O. Ivy Wong']","17 figures, 12 figures, 7 tables, accepted by MNRAS",Astrophysics of Galaxies (astro-ph.GA),"Galaxy morphology in atomic hydrogen (HI) and in the ultra-violet (UV) areclosely linked. This has motivated their combined use to quantify morphologyover the full H i disk for both H i and UV imaging. We apply galaxymorphometrics: Concentration, Asymmetry, Gini, M20 andMultimode-Intensity-Deviation statistics to the first moment-0 maps of theWALLABY survey of galaxies in the Hydra cluster center. Taking advantage ofthis new HI survey, we apply the same morphometrics over the full HI extent onarchival GALEX FUV and NUV data to explore how well HI truncated, extendedultraviolet disk (XUV) and other morphological phenomena can be captured usingpipeline WALLABY data products. Extended HI and UV disks can be identifiedrelatively straightforward from their respective concentration. Combined withWALLABY HI, even the shallowest GALEX data is sufficient to identify XUV disks.Our second goal is to isolate galaxies undergoing ram-pressure stripping in theH i morphometric space. We employ four different machine learning techniques, adecision tree, a k-nearest neighbour, a support-vector machine, and a randomforest. Up to 80% precision and recall are possible with the Random Forestgiving the most robust results.",19
4,Supermassive black holes in UCDs formed from the nuclei of disrupted galaxies,"['Rebecca Mayes', 'Michael Drinkwater', 'Joel Pfeffer', 'Holger Baumgardt']","14 pages, Submitted to MNRAS",Astrophysics of Galaxies (astro-ph.GA),"We use the hydrodynamic EAGLE simulation to predict the numbers and masses ofsupermassive black holes in stripped nuclei and compare these to confirmedmeasurements of black holes in observed UCDs. We find that black holes instripped nuclei are consistent with the numbers and masses of those in observedUCDs. Approximately 50 per cent of stripped nuclei with $M > 2 \times 10^6M_\odot$ should contain supermassive black holes. We further calculate a masselevation ratio, $\Psi$ of the population of simulated stripped nuclei of$\Psi_{sim} = 1.51^{+0.06}_{-0.04}$ for $M > 10^7 M_\odot$ stripped nuclei,consistent with that of observed UCDs which have $\Psi_{obs} = 1.7 \pm 0.2$above $M > 10^7 M_\odot$. We also find that the mass elevation ratios ofstripped nuclei with supermassive black holes can explain the observed numberof UCDs with elevated mass-to-light ratios. Finally, we predict the relativenumber of massive black holes in stripped nuclei and galaxy nuclei and findthat stripped nuclei should increase the number of black holes in galaxyclusters by 30-100 per cent, depending on the black hole occupation fraction oflow-mass galaxies. We conclude that the population of supermassive black holesin UCDs represents a large and unaccounted-for portion of supermassive blackholes in galaxy clusters.",4
5,Analyzing the cosmic architecture in the vicinity of Grand-design and Flocculent spiral galaxies with Local Geometric Index,"['Suman Sarkar', 'Ganesh Narayanan', 'Arunima Banerjee']","19 pages, 7 figures and 3 tables",Astrophysics of Galaxies (astro-ph.GA); Cosmology and Nongalactic Astrophysics (astro-ph.CO); Instrumentation and Methods for Astrophysics (astro-ph.IM),"We explore the environment of 351 Grand-design and 541 Flocculent spiralgalaxies recently identified employing machine learning techniques from the$17^{th}$ data release of Sloan Digital Sky Survey. We introduce a novelestimator called the Local Geometric Index to quantify the morphology of thelocal environment of these 892 galaxies. Based on the Local Geometric Index ofthe galaxies, we identify their local environments to be void, sheet, filamentor cluster. We find that the Grand-designs are mostly located in denseenvironments like clusters and filaments, whereas the Flocculents lie in sparseenvironments in voids and sheets. A $p$-value $<$ $10 ^{-10}$ from aKolmogorov-Smirnov test indicates that our results are statisticallysignificant at $99.9\%$ confidence level. Further, we note that denseenvironments with large tidal flows are dominated by the Grand-designs.Metal-poor environments, such as sheets and voids, with a high abundance of gasclouds, on the other hand, are mostly populated by the Flocculents.",3
6,NOEMA spatially resolved view of the multi-phase outflow in IRAS17020+4544: a shocked wind in action?,"['Anna Lia Longinotti', 'Quentin Salomé', 'Chiara Feruglio', 'Yair Krongold', 'Santiago García-Burillo', 'Marcello Giroletti', 'Francesca Panessa', 'Carlo Stanghellini', 'Olga Vega', 'Victor Manuel Patiño-Álvarez', 'Vahram Chavushyan', 'Mauricio Elías-Chavez', 'Aitor Robleto-Orús']","Accepted for publication on MNRAS, 17 pages, 7 figures",Astrophysics of Galaxies (astro-ph.GA); Cosmology and Nongalactic Astrophysics (astro-ph.CO),"The Narrow Line Seyfert 1 Galaxy IRAS17020+4544 is one of the few AGN where agalaxy-scale energy-conserving outflow was revealed. This paper reports onNOEMA observations addressed to constrain the spatial scale of the CO emissionin outflow. The molecular outflowing gas is resolved in five components tracingapproaching and receding gas, all located at a distance of 2-3~kpc on the Westand East side of the active nucleus. This high velocity gas (up to v_out=~1900km/s) is not coincident with the rotation pattern of the CO gas in the hostgalaxy disk. The estimated mass outflow rate shows that with a global massoutput of $\dot{M}_{H_2}$=~139$\pm$20$~M_\odot$~yr$^{-1}$, this powerfulgalaxy-scale outflow is consistent with the wind conserving its energy, andwith a momentum rate boost of a factor of ~30 compared to the momentum rate ofthe nuclear X-ray wind. Preliminary results from ancillary X-ray (Chandra) andradio images (e-MERLIN) are reported. While the nature of the radio source isnot conclusive, the Chandra image may tentatively trace extended emission, asexpected by an expanding bubble of hot X-ray gas. The outcome of the NOEMAanalysis and of past and ongoing publications dedicated to the description ofthe outflow multi-band phenomenology in IRAS17020+4544 concur to providecompelling reasons to postulate that an outflow shocking with the galaxyinterstellar medium is driving the multi-phase wind in this peculiar AGN.",13
7,Exploring binary black hole mergers and host galaxies with {\sc Shark} and COMPAS,"['Liana Rauf', 'Cullan Howlett', 'Tamara M. Davis', 'Claudia D. P. Lagos']","19 pages, 16 figures - Will be submitted to MNRAS",Astrophysics of Galaxies (astro-ph.GA); Cosmology and Nongalactic Astrophysics (astro-ph.CO),"In this work, we explore the connection between the gravitational wave (GW)merger rates of stellar-mass binary black holes (BBH) and galaxy properties. Wedo this by generating populations of stars using the binary synthesis codeCOMPAS and evolving them in galaxies from the semi-analytic galaxy formationmodel {\sc Shark}, to determine the number of mergers occurring in eachsimulation time-step. We find that large, metal-rich galaxies with high starformation rates are more likely to have gravitational wave (GW) events comparedto younger, more metal poor galaxies. Our simulation with the default inputparameters predicts a higher local merger rate density compared to the thirdgravitational wave transient catalogue (GWTC-3) prediction from LIGO, VIRGO andKAGRA. This is due to short coalescence times, low metallicities and an highformation rate of stars at low redshift in the galaxy simulation, whichproduces more BBHs that merge within the age of the Universe compared toobservations. We identify alternate remnant mass models that more accuratelyreproduce the observed volumetric rate and provide updated fits to the mergerrate distribution as a function of redshift. We then investigate the relativefraction of GW events in our simulation volume that are in observable hostgalaxies from different upcoming photometric and spectroscopic surveys,determining which of those are more ideal for tracing host galaxies with highmerger rates. The implications of this work can be utilised for numerousapplications, including for constraining stellar evolution models, betterinforming follow-up programs, and placing more informative priors on potentialhost galaxies when measuring cosmological parameters such as the Hubbleconstant.",4
8,CMR exploration I -- filament structure with synthetic observations,"['Shuo Kong', 'Volker Ossenkopf-Okada', 'Héctor G. Arce', 'Ralf S. Klessen', 'Duo Xu']","31 pages, 20 figures, 1 table",Astrophysics of Galaxies (astro-ph.GA); Plasma Physics (physics.plasm-ph),"In this paper, we carry out a pilot parameter exploration for thecollision-induced magnetic reconnection (CMR) mechanism that forms filamentarymolecular clouds. Following Kong et al. (2021), we utilize Athena++ to modelCMR in the context of resistive magnetohydrodynamics (MHD), considering theeffect from seven physical conditions, including the Ohmic resistivity($\eta$), the magnetic field ($B$), the cloud density ($\rho$), the cloudradius $R$, the isothermal temperature $T$, the collision velocity $v_x$, andthe shear velocity $v_z$. Compared to their fiducial model, we consider ahigher and a lower value for each one of the seven parameters. We quantify theexploration results with five metrics, including the density probabilitydistribution function ($\rho$-PDF), the filament morphology (250 $\mu$m dustemission), the $B$-$\rho$ relation, the dominant fiber width, and the ringinessthat describes the significance of the ring-like sub-structures. Theexploration forms straight and curved CMR-filaments with rich sub-structuresthat are highly variable in space and time. The variation translates tofluctuation in all the five metrics, reflecting the chaotic nature of magneticreconnection in CMR. A temporary $B\propto\rho$ relation is noticeable duringthe first 0.6 Myr. Overall, the exploration provides useful initial insights tothe CMR mechanism.",5
9,Differential Interferometric Signatures of Close Binaries of Supermassive Black Holes in Active Galactic Nuclei: II. Merged Broad Line Regions,"['Yu-Yang Songsheng', 'Jian-Min Wang']","21 pages, 17 figures, accepted by ApJ",Astrophysics of Galaxies (astro-ph.GA),"Pairs of supermassive black holes (SMBHs) at different stages are naturalresults of galaxy mergers in the hierarchical framework of galaxy formation andevolution. However, identifications of close binaries of SMBHs (CB-SMBHs) withsub-parsec separations in observations are still elusive. Recently,unprecedented spatial resolutions achieved by GRAVITY/GRAVITY+ onboard The VeryLarge Telescope Interferometer through spectroastrometry (SA) provide newopportunities to resolve CB-SMBHs. Differential phase curves of CB-SMBHs withtwo independent broad-line regions (BLRs) are found to have distinguishedcharacteristic structures from a single BLR \citep{songsheng2019}. Once theCB-SMBH evolves to the stage where BLRs merge to form a circumbinary BLR, itwill hopefully be resolved by the pulsar timing array (PTA) in the near futureas sources of nano-hertz gravitational waves. In this work, we use aparameterized model for circumbinary BLRs to calculate line profiles anddifferential phase curves for SA observations. We show that both profiles andphase curves exhibit asymmetries caused by the Doppler boosting effect ofaccretion disks around individual black holes, depending on the orbitalparameters of the binary and geometries of the BLR. We also generate mock SAdata using the model and then recover orbital parameters by fitting the mockdata. Degeneracies between parameters contribute greatly to uncertainties ofparameters but can be eased through joint analysis of multiple-epoch SAobservations and reverberation mappings.",2
