,title,authors,comment,subjects,abstract,nb_of_aut
0,Observational evidence for cosmological coupling of black holes and its implications for an astrophysical source of dark energy,"['Duncan Farrah', 'Kevin S. Croker', 'Gregory Tarlé', 'Valerio Faraoni', 'Sara Petty', 'Jose Afonso', 'Nicolas Fernandez', 'Kurtis A. Nishimura', 'Chris Pearson', 'Lingyu Wang', 'Michael Zevin', 'David L Clements', 'Andreas Efstathiou', 'Evanthia Hatziminaoglou', 'Mark Lacy', 'Conor McPartland', 'Lura K Pitchford', 'Nobuyuki Sakai', 'Joel Weiner']","10 pages, 3 figures, published in ApJ Letters",Cosmology and Nongalactic Astrophysics (astro-ph.CO); Astrophysics of Galaxies (astro-ph.GA); High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc),"Observations have found black holes spanning ten orders of magnitude in massacross most of cosmic history. The Kerr black hole solution is howeverprovisional as its behavior at infinity is incompatible with an expandinguniverse. Black hole models with realistic behavior at infinity predict thatthe gravitating mass of a black hole can increase with the expansion of theuniverse independently of accretion or mergers, in a manner that depends on theblack hole's interior solution. We test this prediction by considering thegrowth of supermassive black holes in elliptical galaxies over$0<z\lesssim2.5$. We find evidence for cosmologically coupled mass growth amongthese black holes, with zero cosmological coupling excluded at 99.98%confidence. The redshift dependence of the mass growth implies that, at$z\lesssim7$, black holes contribute an effectively constant cosmologicalenergy density to Friedmann's equations. The continuity equation then requiresthat black holes contribute cosmologically as vacuum energy. We further showthat black hole production from the cosmic star formation history gives thevalue of $\Omega_{\Lambda}$ measured by Planck while being consistent withconstraints from massive compact halo objects. We thus propose that stellarremnant black holes are the astrophysical origin of dark energy, explaining theonset of accelerating expansion at $z \sim 0.7$.",19
1,Surface brightness discontinuities in radio halos. Insights from the MeerKAT Galaxy Cluster Legacy Survey,"['Andrea Botteon', 'Maxim Markevitch', 'Reinout J. van Weeren', 'Gianfranco Brunetti', 'Timothy W. Shimwell']","10 pages, 5 figures, 1 table (excluding Appendixes). Abstract abridged to meet arXiv requirements. Submitted to A&A",Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Astrophysical Phenomena (astro-ph.HE),"Dynamical motions in the ICM can imprint distinctive features on the X-rayimages that map the thermal emission from clusters, such as sharp surfacebrightness discontinuities due to shocks and cold fronts. The gas dynamicsduring cluster mergers may also drive large-scale turbulence in the ICM whichin turn generates extended synchrontron sources known as radio halos. Thepresence of surface brightness edges in the thermal gas of clusters has beenestablished by a number of X-ray observations. In contrast, edges in radiohalos have been observed only in a handful of cases. Our goal is to search fornew radio surface brightness discontinuities in the ICM. We inspected theimages of the Bullet Cluster and the other 25 radio halos reported in theMeerKAT Galaxy Cluster Legacy Survey. To aid the identification of surfacebrightness discontinuities, we applied a gradient filtering edge detectionmethod to the radio images. We found that the adopted filtering technique ishelpful to identify surface brightness edges in radio images, allowing us toidentify at least one gradient in half of the radio halos studied. For theBullet Cluster, we found excellent agreement between the locations of the 4radio discontinuities detected and X-ray edges. This similarity informs us thatthere is substantial interplay between thermal and non-thermal components ingalaxy clusters. This interplay is likely due to the forzen-in ICM magneticfield which mediates the advection of cosmic rays while being dragged bythermal gas flows. We conclude that radio halos are shaped by dynamical motionsin the ICM and that they often display surface brightness discontinuitiesapparently co-located with edges in the thermal gas emission. Our resultsdemonstrate that new and future generations of radio telescopes will provide acomplementary approach to X-rays to efficiently detect shocks and cold frontsin the ICM.",5
2,The role of baryons in self-interacting dark matter mergers,"['Moritz S. Fischer', 'Nils-Henrik Durke', 'Katharina Hollingshausen', 'Claudius Hammer', 'Marcus Brüggen', 'Klaus Dolag']","14 pages, 10 figures + appendices, submitted to MNRAS",Cosmology and Nongalactic Astrophysics (astro-ph.CO); Astrophysics of Galaxies (astro-ph.GA); High Energy Astrophysical Phenomena (astro-ph.HE),"Mergers of galaxy clusters are promising probes of dark matter (DM) physics.For example, an offset between the DM component and the galaxy distribution canconstrain DM self-interactions. We investigate the role of the intraclustermedium (ICM) and its influence on DM-galaxy offsets in self-interacting darkmatter (SIDM) models. To this end, we employ Smoothed Particle Hydrodynamics +N-body simulations to study idealised setups of equal- and unequal-mass mergerswith head-on collisions. Our simulations show that the ICM hardly affects theoffsets arising shortly after the first pericentre passage compared to DM-only(DMO) simulations. But later on, e.g. at the first apocentre, the offsets canbe amplified by the presence of the ICM. Furthermore, we find thatcross-sections small enough not to be excluded by measurements of the coresizes of relaxed galaxy clusters have a chance to produce observable offsets.We found that different DM models affect the DM distribution and also thegalaxy and and ICM distribution, including its temperature. Potentially, theposition of the shock fronts, combined with the brightest cluster galaxies(BCGs), provides further clues to the properties of DM. Overall our resultsdemonstrate that mergers of galaxy clusters at stages about the first apocentrepassage could be more interesting in terms of DM physics than those shortlyafter the first pericentre passage. This may motivate further studies ofmergers at later evolutionary stages.",6
3,Revisiting oldest stars as cosmological probes,"['Cimatti A.', 'Moresco M']","10 pages, 4 figures, 2 tables (including appendix). Submitted to ApJL",Cosmology and Nongalactic Astrophysics (astro-ph.CO),"Despite the tremendous advance of observational cosmology, the value of theHubble constant ($H_0$) is still controversial (the so called ``Hubbletension'') because of the inconsistency between local/late-time measurementsand those derived from the cosmic microwave background. As the age of theUniverse is very sensitive to $H_0$, we explored whether the present-day oldeststars could place independent constraints on the Hubble constant. To thispurpose, we selected from the literature the oldest objects (globular clusters,stars, white dwarfs, ultra-faint and dwarf spheroidal galaxies) with accurateage estimates. Adopting a conservative prior on their formation redshifts ($11\leq z_{\rm f} \leq 30$) and assuming $\Omega_{\rm M} = 0.3 \pm 0.02$, wedeveloped a method based on Bayesian statistics to estimate the Hubbleconstant. We selected the oldest objects ($>13.3$ Gyr), and estimated $H_0$both for each of them individually and for the average ages of homogeneoussubsamples. Statistical and systematic uncertainties were properly taken intoaccount. The constraints based on individual ages indicate that $H_0<70.6$km/s/Mpc when selecting the most accurate estimates. If the ages are averagedand analyzed independently for each subsample, the most stringent constraintsimply $H_0<73.0$ with a probability of 93.2\% and errors around 2.5 km/s/Mpc.We also constructed an ``accuracy matrix'' to assess how the constraints on$H_0$ become more stringent with further improvements in the accuracy ofstellar ages and $\Omega_{\rm M}$. The results show the high potential of theoldest stars as independent and competitive cosmological probes.",2
4,Search for scalar induced gravitational waves in the International Pulsar Timing Array Data Release 2 and NANOgrav 12.5 years dataset,"['Virgile Dandoy', 'Valerie Domcke', 'Fabrizio Rompineve']","13+10 pages, 9 figures",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"We perform a Bayesian search in the latest Pulsar Timing Array (PTA) datasetsfor a stochastic gravitational wave (GW) background sourced by curvatureperturbations at scales $10^5~\text{Mpc}^{-1}\lesssim k\lesssim10^8~\text{Mpc}^{-1}$. These re-enter the Hubble horizon at temperatures aroundand below the QCD crossover phase transition in the early Universe. We includea stochastic background of astrophysical origin in our search and properlyaccount for constraints on the curvature power spectrum from the overproductionof primordial black holes (PBHs). We find that the International PTA DataRelease 2 significantly favors the astrophysical model for its reportedcommon-spectrum process, over the curvature-induced background. On the otherhand, the two interpretations fit the NANOgrav 12.5 years dataset equally well.We then set new upper limits on the amplitude of the curvature power spectrumat small scales. These are independent from, and competitive with, indirectastrophysical bounds from the abundance of PBH dark matter. Upcoming PTA datareleases will provide the strongest probe of the curvature power spectrumaround the QCD epoch.",3
5,Profiling Cold New Early Dark Energy,"['Juan S. Cruz', 'Steen Hannestad', 'Emil Brinch Holm', 'Florian Niedermann', 'Martin S. Sloth', 'Thomas Tram']","14 pages, 7 figures, 1 table",Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),"Recent interest in New Early Dark Energy (NEDE), a cosmological model with avacuum energy component decaying in a triggered phase transition aroundrecombination, has been sparked by its impact on the Hubble tension. Previousconstraints on the model parameters were derived in a Bayesian framework withMarkov-chain Monte Carlo (MCMC) methods. In this work, we instead perform afrequentist analysis using the profile likelihood in order to assess the impactof prior volume effects on the constraints. We constrain the maximal fractionof NEDE $f_\mathrm{NEDE}$, finding $f_\mathrm{NEDE}=0.076^{+0.040}_{-0.035}$ at$68 \%$ CL with our baseline dataset and similar constraints using either datafrom SPT-3G, ACT or full-shape large-scale structure, showing a preference over$\Lambda$CDM even in the absence of a SH0ES prior on $H_0$. While this isstronger evidence for NEDE than obtained with the corresponding Bayesiananalysis, our constraints broadly match those obtained by fixing the NEDEtrigger mass. Including the SH0ES prior on $H_0$, we obtain$f_\mathrm{NEDE}=0.136^{+0.024}_{-0.026}$ at $68 \%$ CL. Furthermore, wecompare NEDE with the Early Dark Energy (EDE) model, finding similarconstraints on the maximal energy density fractions and $H_0$ in the twomodels. At $68 \%$ CL in the NEDE model, we find $H_0 = 69.56^{+1.16}_{-1.29}\text{ km s}^{-1}\text{ Mpc}^{-1}$ with our baseline and $H_0 =71.62^{+0.78}_{-0.76} \text{ km s}^{-1}\text{ Mpc}^{-1}$ when including theSH0ES measurement of $H_0$, thus corroborating previous conclusions that theNEDE model provides a considerable alleviation of the $H_0$ tension.",6
6,Galaxy cluster rotation revealed in the MACSIS simulations with the kinetic Sunyaev-Zeldovich effect,"['Edoardo Altamura', 'Scott T. Kay', 'Jens Chluba', 'Imogen Towler']",Submitted to Monthly Notices of the Royal Astronomical Society. Comments and discussions are welcome. Data and codes can be found at this https URL,Cosmology and Nongalactic Astrophysics (astro-ph.CO); Astrophysics of Galaxies (astro-ph.GA); Computational Physics (physics.comp-ph),"The kinetic Sunyaev-Zeldovich (kSZ) effect has now become a clear target forongoing and future studies of the cosmic microwave background (CMB) andcosmology. Aside from the bulk cluster motion, internal motions also lead to akSZ signal. In this work, we study the rotational kSZ effect caused by coherentlarge-scale motions of the cluster medium using cluster hydrodynamiccosmological simulations. To utilise the rotational kSZ as a cosmologicalprobe, simulations offer some of the most comprehensive data sets that caninform the modeling of this signal. In this work, we use the MACSIS data set tospecifically investigate the rotational kSZ effect in massive clusters. Basedon these models, we test stacking approaches and estimate the amplitude of thecombined signal with varying mass, dynamical state, redshift and map-alignmentgeometry. We find that the dark matter, galaxy and gas spins are generallymisaligned, an effect that can cause a sub-optimal estimation of the rotationalkSZ effect when based on galaxy catalogues. Furthermore, we providehalo-spin-mass scaling relations that can be used to build a statistical modelof the rotational kSZ. The rotational kSZ contribution, which is largest inmassive unrelaxed clusters ($\gtrsim$100 $\mu$K), could be relevant to studiesof higher-order CMB temperature signals, such as the moving lens effect. Thelimited mass range of the MACSIS sample strongly motivates an extendedinvestigation of the rotational kSZ effect in large-volume simulations torefine the modelling, particularly towards lower mass and higher redshift, andprovide forecasts for upcoming cosmological CMB experiments (e.g. SimonsObservatory, SKA-2) and X-ray observations (e.g. \textit{Athena}/X-IFU).",4
7,Search for the Epoch of Reionisation with HERA: Upper Limits on the Closure Phase Delay Power Spectrum,"['Pascal M. Keller', 'Bojan Nikolic', 'Nithyanandan Thyagarajan', 'Chris L. Carilli', 'Gianni Bernardi', 'Ntsikelelo Charles', 'Landman Bester', 'Oleg M. Smirnov', 'Nicholas S. Kern', 'Joshua S. Dillon', 'Bryna J. Hazelton', 'Miguel F. Morales', 'Daniel C. Jacobs', 'Aaron R. Parsons', 'Zara Abdurashidova', 'Tyrone Adams', 'James E. Aguirre', 'Paul Alexander', 'Zaki S. Ali', 'Rushelle Baartman', 'Yanga Balfour', 'Adam P. Beardsley', 'Tashalee S. Billings', 'Judd D. Bowman', 'Richard F. Bradley', 'Philip Bull', 'Jacob Burba', 'Steven Carey', 'Carina Cheng', 'David R. DeBoer', 'Eloy de Lera Acedo', 'Matt Dexter', 'Nico Eksteen', 'John Ely', 'Aaron Ewall-Wice', 'Nicolas Fagnoni', 'Randall Fritz', 'Steven R. Furlanetto', 'Kingsley Gale-Sides', 'Brian Glendenning', 'Deepthi Gorthi', 'Bradley Greig', 'Jasper Grobbelaar', 'Ziyaad Halday', 'Jacqueline N. Hewitt', 'Jack Hickish', 'Austin Julius', 'MacCalvin Kariseb', 'Joshua Kerrigan', 'Piyanat Kittiwisit', 'Saul A. Kohn', 'Matthew Kolopanis', 'Adam Lanman', 'Paul La Plante', 'Adrian Liu', 'Anita Loots', 'Yin-Zhe Ma', 'David Harold Edward MacMahon', 'Lourence Malan', 'Cresshim Malgas', 'Keith Malgas', 'Bradley Marero', 'Zachary E. Martinot', 'Andrei Mesinger', 'Mathakane Molewa', 'Tshegofalang Mosiane', 'Steven G. Murray', 'Abraham R. Neben', 'Hans Nuwegeld', 'Robert Pascua', 'Nipanjana Patra', 'Samantha Pieterse', 'Jonathan C. Pober', 'Nima Razavi-Ghods', 'James Robnett', 'Kathryn Rosie', 'Mario G. Santos', 'Peter Sims', 'Craig Smith', 'Hilton Swarts', 'Pieter Van Wyngaarden', 'Peter K. G. Williams', 'Haoxuan Zheng']","16 pages, 14 figures, accepted for publication by MNRAS",Cosmology and Nongalactic Astrophysics (astro-ph.CO); Instrumentation and Methods for Astrophysics (astro-ph.IM),"Radio interferometers aiming to measure the power spectrum of the redshifted21 cm line during the Epoch of Reionisation (EoR) need to achieve anunprecedented dynamic range to separate the weak signal from overwhelmingforeground emissions. Calibration inaccuracies can compromise the sensitivityof these measurements to the effect that a detection of the EoR is precluded.An alternative to standard analysis techniques makes use of the closure phase,which allows one to bypass antenna-based direction-independent calibration.Similarly to standard approaches, we use a delay spectrum technique to searchfor the EoR signal. Using 94 nights of data observed with Phase I of theHydrogen Epoch of Reionization Array (HERA), we place approximate constraintson the 21 cm power spectrum at $z=7.7$. We find at 95% confidence that the 21cm EoR brightness temperature is $\le$(372)$^2$ ""pseudo"" mK$^2$ at 1.14""pseudo"" $h$ Mpc$^{-1}$, where the ""pseudo"" emphasises that these limits are tobe interpreted as approximations to the actual distance scales and brightnesstemperatures. Using a fiducial EoR model, we demonstrate the feasibility ofdetecting the EoR with the full array. Compared to standard methods, theclosure phase processing is relatively simple, thereby providing an importantindependent check on results derived using visibility intensities, or related.",83
8,Polarized accretion shocks from the cosmic web,"['Tessa Vernstrom', 'Jennifer West', 'Franco Vazza', 'Denis Wittor', 'Christopher John Riseley', 'George Heald']",Published in Science Advances. Supplementary Materials available at this https URL,Cosmology and Nongalactic Astrophysics (astro-ph.CO),"On the largest scales, galaxies are pulled together by gravity to formclusters, which are connected by filaments making a web-like pattern. Radioemission is predicted from this cosmic web, which should originate from thestrong accretion shocks around the cosmic structures. We present the firstobservational evidence that Fermi-type acceleration from strong shockssurrounding the filaments of the cosmic web, as well as in peripherals oflow-mass clusters, is at work in the Universe. Using all-sky radio maps andstacking on clusters and filaments, we have detected the polarization signatureof the synchrotron emission with polarization fractions >= 20%, which is bestexplained by the organization of local magnetic fields by strong shock wavesboth at the cluster peripheries and between clusters. Our interpretation iswell supported by a detailed comparison with state-of-the-art cosmologicalsimulations.",6
9,Probing massive neutrinos with the Minkowski functionals of the galaxy distribution,"['Wei Liu', 'Aoxiang Jiang', 'Wenjuan Fang']","33 pages, 5 + 4 figures, 4 tables. To be submitted to JCAP. Comments welcome. arXiv admin note: text overlap with arXiv:2204.02945",Cosmology and Nongalactic Astrophysics (astro-ph.CO),"The characteristic signatures of massive neutrinos on large-scale structure(LSS), if fully captured, can be used to put a stringent constraint on theirmass sum, $M_{\nu}$. Previous work utilizing N-body simulations has shown theMinkowski functionals (MFs) of LSS can reveal the imprints of massive neutrinoson LSS, provide important complementary information to two-point statistics andsignificantly improve constraints on $M_{\nu}$. In this work, we take a stepforward and apply the statistics to the biased tracers of LSS, i.e. thegalaxies, and in redshift space. We perform a Fisher matrix analysis andquantify the constraining power of the MFs by using the Molino mock galaxycatalogs, which are constructed based on the halo occupation distribution (HOD)framework with parameters for the SDSS $M_r < -21.5$ and -22 galaxy samples. Wefind the MFs give tighter constraints on all of the cosmological parametersthat we consider than the power spectrum. The constraints on$\Omega_{\mathrm{m}}, \Omega_{\mathrm{b}}, h, n_s, \sigma_8$, and $M_\nu$ fromthe MFs are better by a factor of 1.9, 2.9, 3.7, 4.2, 2.5, and 5.7,respectively, after marginalizing over the HOD parameters. Specifically, for$M_{\nu}$, we obtain a 1$\sigma$ constraint of 0.059 eV with the MFs alone fora volume of only $\left(1 h^{-1} \mathrm{Gpc}\right)^3$.",3
