,title,authors,comment,subjects,abstract,nb_of_aut
0,C14 Automatic Imaging Telescope Photometry of GJ1214,"['Gregory W. Henry', 'Jacob L. Bean']","arXiv only posting, contact Greg Henry for access to the data",Earth and Planetary Astrophysics (astro-ph.EP); Solar and Stellar Astrophysics (astro-ph.SR),"GJ1214b is the highest signal-to-noise sub-Neptune for atmospheric studies.Although most previous transmission spectroscopy measurements have revealed afrustratingly featureless spectrum, JWST observations are expected to give newinsights to this benchmark planet. We have performed photometric monitoring ofGJ1214 (the host star) to provide context for these observations. We find thatGJ1214 entered a period of relatively high brightness during 2021 and 2022.This implies that the JWST MIRI/LRS phase curve observation of GJ1214b in July2022 was obtained during an epoch of low activity for the spot-dominated hoststar. Like previous works, we are unable to definitively identify the star'srotation period. Nevertheless, we confirm that it is likely >50 days.",2
1,Non-perturbative investigation of low eccentricity exterior mean motion resonances,"['Renu Malhotra', 'Zherui Chen']","11 pages, many figures. In press at MNRAS",Earth and Planetary Astrophysics (astro-ph.EP); Chaotic Dynamics (nlin.CD),"Mean motion resonances are important in the analysis and understanding of thedynamics of planetary systems. While perturbative approaches have been dominantin many previous studies, recent non-perturbative approaches have revealednovel properties in the low eccentricity regime for interior mean motionresonances of Jupiter in the fundamental model of the circular planarrestricted three body model. Here we extend the non-perturbative investigationto exterior mean motion resonances in the low eccentricity regime (up to about0.1) and for perturber mass in the range 5e-5 to 1e-3 (in units of the centralmass). Our results demonstrate that first order exterior resonances have twobranches at low eccentricity as well as low-eccentricity bridges connectingneighboring first order resonances. With increasing perturber mass, higherorder resonances dissolve into chaos whereas low order resonances persist withlarger widths in their radial extent but smaller azimuthal widths. For loworder resonances, we also detect secondary resonances arising from smallinteger commensurabilities between resonant librations and the synodicfrequency. These secondary resonances contribute significantly to generatingthe chaotic sea that typically occurs near mean motion resonances ofhigher-mass perturbers.",2
2,Accounting for non-ideal mixing effects in the hydrogen-helium equation of state,"['Saburo Howard', 'Tristan Guillot']",,Earth and Planetary Astrophysics (astro-ph.EP),"The equation of state for hydrogen and helium is fundamental for studyingstars and giant planets. It has been shown that because of interactions atatomic and molecular levels, the behaviour of a mixture of hydrogen and heliumcannot be accurately represented by considering these elements separately. Thispaper aims at providing a simple method to account for interactions betweenhydrogen and helium in interior and evolution models of giant planets. Using onthe one hand ab initio simulations that involve a system of interactinghydrogen and helium particles and pure equations of state for hydrogen andhelium on the other, we derived the contributions in density and entropy of theinteractions between hydrogen and helium particles. We show that relativevariations of up to 15% in density and entropy arise when non-ideal mixing isaccounted for. These non-ideal mixing effects must be considered in interiormodels of giant planets based on accurate gravity field measurements,particularly in the context of variations in the helium-to-hydrogen ratio. Theyalso affect the mass-radius relation of exoplanets. We provide a table thatcontains the volume and entropy of mixing as a function of pressure andtemperature. This table is to be combined with pure hydrogen and pure heliumequations of state to obtain an equation of state that self-consistentlyincludes mixing effects for any hydrogen and helium mixing ratio and may beused to model the interior structure and evolution of giant planets to browndwarfs. Non-linear mixing must be included in accurate calculations of theequations of state of hydrogen and helium. Uncertainties on the equation ofstate still exist, however. Ab initio calculations of the behaviour of thehydrogen-helium mixture in the megabar regime for various compositions shouldbe performed in order to gain accuracy.",2
3,"Retrieval study of cool, directly imaged exoplanet 51 Eri b","['Niall Whiteford', 'Alistair Glasse', 'Katy L. Chubb', 'Daniel Kitzmann', 'Shrishmoy Ray', 'Mark W. Phillips', 'Beth A. Biller', 'Paul I. Palmer', 'Ken Rice', 'Ingo P. Waldmann', 'Quentin Changeat', 'Nour Skaf', 'Jason Wang', 'Billy Edwards', 'Ahmed Al-Refaie']",,Earth and Planetary Astrophysics (astro-ph.EP); Instrumentation and Methods for Astrophysics (astro-ph.IM); Solar and Stellar Astrophysics (astro-ph.SR),"Retrieval methods are a powerful analysis technique for modellingexoplanetary atmospheres by estimating the bulk physical and chemicalproperties that combine in a forward model to best-fit an observed spectrum,and they are increasingly being applied to observations of directly-imagedexoplanets. We have adapted TauREx3, the Bayesian retrieval suite, for theanalysis of near-infrared spectrophotometry from directly-imaged gas giantexoplanets and brown dwarfs. We demonstrate TauREx3's applicability tosub-stellar atmospheres by presenting results for brown dwarf benchmark GJ 570Dwhich are consistent with previous retrieval studies, whilst also exhibitingsystematic biases associated with the presence of alkali lines. We also presentresults for the cool exoplanet 51 Eri b, the first application of a freechemistry retrieval analysis to this object, using spectroscopic observationsfrom GPI and SPHERE. While our retrieval analysis is able to explainspectroscopic and photometric observations without employing cloud extinction,we conclude this may be a result of employing a flexible temperature-pressureprofile which is able to mimic the presence of clouds. We present Bayesianevidence for an ammonia detection with a 2.7$\sigma$ confidence, the firstindication of ammonia in an exoplanetary atmosphere. This is consistent withthis molecule being present in brown dwarfs of a similar spectral type. Wedemonstrate the chemical similarities between 51 Eri b and GJ 570D in relationto their retrieved molecular abundances. Finally, we show that overallretrieval conclusions for 51 Eri b can vary when employing different spectraldata and modelling components, such as temperature-pressure and cloudstructures.",15
4,Maps of secular resonances in the NEO region,"['M. Fenucci', 'G. F. Gronchi', 'B. Novaković']",Accepted for publication in A&A,Earth and Planetary Astrophysics (astro-ph.EP); Mathematical Physics (math-ph),"Context. From numerical simulations, it is known that some secular resonancesmay affect the motion of near-Earth objects (NEOs). However, the specificlocation of the secular resonance inside the NEO region is not fully known,because the methods previously used to predict their location can not be usedfor highly eccentric orbits and when the NEOs cross the orbits of the planets.Aims. In this paper, we aim to map the secular resonances with the planetsfrom Venus to Saturn in the NEO region, even for high values of theeccentricity.Methods. We used an averaged semi-analytical model that can deal with orbitcrossing singularities for the computation of the secular dynamics of NEOs,from which we can obtain suitable proper elements and proper frequencies. Then,we computed the proper frequencies over a uniform grid in the proper elementsspace. Secular resonances are thus located by the level curves corresponding tothe proper frequencies of the planets.Results. We determined the location of the secular resonances with theplanets from Venus to Saturn, showing that they appear well inside the NEOregion. By using full numerical N-body simulations we also showed that thelocation predicted by our method is fairly accurate. Finally, we provided someindications about possible dynamical paths inside the NEO region, due to thepresence of secular resonances.",3
5,The Compositional Dimension of Planet Formation,['Diego Turrini'],"45 pages, 7 figures, 4 tables; accepted as a chapter in the book ""Planetary systems now"", eds. Luisa M. Lara and David Jewitt, World Scientific Publishing Co Pte Ltd",Earth and Planetary Astrophysics (astro-ph.EP),"The great diversity of the thousands of planets known to date is proof of themultitude of ways in which formation and evolution processes can shape the lifeof planetary systems. Multiple formation and evolution paths, however, canresult in the same planetary architecture. Because of this, unveiling theindividual histories of planetary systems and their planets can prove achallenging task. The chemical composition of planets provides us with aguiding light for navigate this challenge, but to understand the information itcarries we need to properly link it to the chemical composition andcharacteristics of the environments in which the planets formed. To achievethis goal it is necessary to combine the information and perspectives providedby a growing number of different fields of study, spanning the whole lifecycleof stars and their planetary systems. The aim of this chapter is to provide theunifying perspective needed to understand and connect such diverse information,and illustrate the process through which we can decode the message containedinto the composition of planetary bodies.",1
6,The effect of thermal non-equilibrium on kinetic nucleation,"['Sven Kiefer', 'David Gobrecht', 'Leen Decin', 'Christiane Helling']","13 pages, 4 figures",Earth and Planetary Astrophysics (astro-ph.EP); Astrophysics of Galaxies (astro-ph.GA); Solar and Stellar Astrophysics (astro-ph.SR),"Nucleation is considered to be the first step in dust and cloud formation inthe atmospheres of asymptotic giant branch (AGB) stars, exoplanets, and browndwarfs. In these environments dust and cloud particles grow to macroscopicsizes when gas phase species condense onto cloud condensation nuclei (CCNs).Understanding the formation processes of CCNs and dust in AGB stars isimportant because the species that formed in their outflows enrich theinterstellar medium. Although widely used, the validity of chemical and thermalequilibrium conditions is debatable in some of these highly dynamicalastrophysical environments. We aim to derive a kinetic nucleation model thatincludes the effects of thermal non-equilibrium by adopting differenttemperatures for nucleating species, and to quantify the impact of thermalnon-equilibrium on kinetic nucleation. Forward and backward rate coefficientsare derived as part of a collisional kinetic nucleation theory ansatz. Theendothermic backward rates are derived from the law of mass action in thermalnon-equilibrium. We consider elastic collisions as thermal equilibrium drivers.For homogeneous TiO2 nucleation and a gas temperature of 1250 K, we find thatdifferences in the kinetic cluster temperatures as small as 20 K increase theformation of larger TiO2 clusters by over an order of magnitude. An increase incluster temperature of around 20 K at gas temperatures of 1000 K can reduce theformation of a larger TiO2 cluster by over an order of magnitude. Our resultsconfirm and quantify the prediction of previous thermal non-equilibriumstudies. Small thermal non-equilibria can cause a significant change in thesynthesis of larger clusters. Therefore, it is important to use kineticnucleation models that include thermal non-equilibrium to describe theformation of clusters in environments where even small thermal non-equilibriacan be present.",4
7,"The Optical Aurorae of Europa, Ganymede and Callisto","['Katherine de Kleer', 'Zachariah Milby', 'Carl Schmidt', 'Maria Camarca', 'Michael E. Brown']",Published in Planetary Science Journal,Earth and Planetary Astrophysics (astro-ph.EP),"The tenuous atmospheres of the Galilean satellites are sourced from theirsurfaces and produced by a combination of plasma-surface interactions andthermal processes. Though thin, these atmospheres can be studied via theirauroral emissions, and most work to date has focused on their aurora at UVwavelengths. Here we present the first detections of Ganymede's and Callisto'soptical aurorae, as well detections of new optical auroral lines at Europa,based on observations of the targets over ten Jupiter eclipses from 1998 to2021 with Keck/HIRES. We present measurements of OI emission at 6300/6364,5577, 7774, and 8446 A and place upper limits on hydrogen at 6563 A. Theseconstitute the first detections of emissions at 7774 and 8446 A at a planetarybody other than Earth. The simultaneous measurement of multiple emission linesprovides robust constraints on atmospheric composition. We find that theeclipse atmospheres of Europa and Ganymede are composed predominantly of O2with average column densities of (4.1 \pm 0.1) x 10^{14} cm^{-2} and (4.7 \pm0.1) x 10^{14} cm^{-2}, respectively. We find weak evidence for H2O in Europa'sbulk atmosphere at an H2O/O2 ratio of $\sim$0.25, and place only an upper limiton H2O in Ganymede's bulk atmosphere, corresponding to H2O/O2 < 0.6. The columndensity of O2 derived for Callisto is (4.0 \pm 0.9 x 10^{15} cm^{-2} for anassumed electron density of 0.15 cm^{-3}, but electron properties at Callisto'sorbit are very poorly constrained.",5
8,The CARMENES search for exoplanets around M dwarfs. Line-by-line sensitivity to activity in M dwarfs,"['M. Lafarga', 'I. Ribas', 'M. Zechmeister', 'A. Reiners', 'Á. López-Gallifa', 'D. Montes', 'A. Quirrenbach', 'P. J. Amado', 'J. A. Caballero', 'M. Azzaro', 'V. J. S. Béjar', 'A. P. Hatzes', 'Th. Henning', 'S. V. Jeffers', 'A. Kaminski', 'M. Kürster', 'P. Schöfer', 'A. Schweitzer', 'H. M. Tabernero', 'M. R. Zapatero Osorio']",Accepted for publication in A&A,Solar and Stellar Astrophysics (astro-ph.SR); Earth and Planetary Astrophysics (astro-ph.EP),"Radial velocities (RVs) measured from high-resolution stellar spectra areroutinely used to detect and characterise orbiting exoplanet companions. Thedifferent lines present in stellar spectra are created by several species,which are non-uniformly affected by stellar variability features such as spotsor faculae. Stellar variability distorts the shape of the spectral absorptionlines from which precise RVs are measured, posing one of the main problems inthe study of exoplanets. In this work we aim to study how the spectral linespresent in M dwarfs are independently impacted by stellar activity. We usedCARMENES optical spectra of six active early- and mid-type M dwarfs to computeline-by-line RVs and study their correlation with several well-studied proxiesof stellar activity. We are able to classify spectral lines based on theirsensitivity to activity in five M dwarfs displaying high levels of stellaractivity. We further used this line classification to compute RVs withactivity-sensitive lines and less sensitive lines, enhancing or mitigatingstellar activity effects in the RV time series. For specific sets of the leastactivity-sensitive lines, the RV scatter decreases by ~ 2 to 5 times theinitial one, depending on the star. Finally, we compare these lines in thedifferent stars analysed, finding the sensitivity to activity to vary from starto star. Despite the high density of lines and blends present in M dwarfstellar spectra, we find that a line-by-line approach is able to deliverprecise RVs. Line-by-line RVs are also sensitive to stellar activity effects,and they allow for an accurate selection of activity-insensitive lines tomitigate activity effects in RV. However, we find stellar activity effects tovary in the same insensitive lines from star to star.",20
9,ATLAS-TEIDE: The next generations of ATLAS units for the Teide Observatory,"['Javier Licandro', 'John Tonry', 'Miguel R. Alarcon', 'Miquel Serra-Ricart', 'Larry Denneau']","5 pages, 8 figures, Conference paper",Instrumentation and Methods for Astrophysics (astro-ph.IM); Earth and Planetary Astrophysics (astro-ph.EP),"In this work we present the design of the ATLAS unit (AsteroidTerrestrial-impact Last Alert System) that will be installed at TeideObservatory in Tenerife island (Spain). ATLAS-Teide will be built by theInstituto de Astrofisica de Canarias (IAC) and will be operated as part of theATLAS network in the framework of an operation and science exploitationagreement between the IAC and the ATLAS team at University of Hawaii.ATLAS-Teide will be the first ATLAS unit based on commercial on the shelf(COTS) components. Its design is modular, each module (building block) consistof four Celestron RASA 11 telescopes that point to the same sky field, equippedwith QHY600PRO CMOS cameras on an equatorial Direct Drive mount. Each module isequivalent to a 56cm effective diameter telescope and provides a 7.3 deg^2field of view and a 1.26 arcsec/pix plate scale. ATLAS-Teide will consist offour ATLAS modules in a roll-off roof building. This configuration allows tocover the same sky area of the actual ATLAS telescopes.The first ATLAS module was installed in November 2022 in an existingclamshell at the TO. This module (ATLAS-P) is being used as a prototype to testthe system capabilities, develop the needed software (control, imageprocessing, etc.) and complete the fully integration of ATLAS-Teide in theATLAS network. The preliminary results of the tests are presented here, and thebenefits of the new ATLAS design are discussed.",5
