,title,authors,comment,subjects,abstract,nb_of_aut
0,The brightest GRB ever detected: GRB 221009A as a highly luminous event at z = 0.151,"['D. B. Malesani', 'A. J. Levan', 'L. Izzo', 'A. de Ugarte Postigo', 'G. Ghirlanda', 'K. E. Heintz', 'D. A. Kann', 'G. P. Lamb', 'J. Palmerio', 'O. S. Salafia', 'R. Salvaterra', 'N. R. Tanvir', 'J. F. Agüí Fernández', 'S. Campana', 'A. A. Chrimes', ""P. D'Avanzo"", ""V. D'Elia"", 'M. Della Valle', 'M. De Pasquale', 'J. P. U. Fynbo', 'N. Gaspari', 'B. P. Gompertz', 'D. H. Hartmann', 'J. Hjorth', 'P. Jakobsson', 'E. Palazzi', 'E. Pian', 'G. Pugliese', 'M. E. Ravasio', 'A. Rossi', 'A. Saccardi', 'P. Schady', 'B. Schneider', 'J. Sollerman', 'R. L. C. Starling', 'C. C. Thöne', 'A. J. van der Horst', 'S. D. Vergani', 'D. Watson', 'K. Wiersema', 'D. Xu', 'T. Zafar']","9 pages, 4 figures, submitted to Astronomy & Astrophysics",High Energy Astrophysical Phenomena (astro-ph.HE),"Context: The extreme luminosity of gamma-ray bursts (GRBs) makes thempowerful beacons for studies of the distant Universe. The most luminous burstsare typically detected at moderate/high redshift, where the volume for seeingsuch rare events is maximized and the star-formation activity is greater thanat z = 0. For distant events, not all observations are feasible, such as at TeVenergies.Aims: Here we present a spectroscopic redshift measurement for theexceptional GRB 221009A, the brightest GRB observed to date with emissionextending well into the TeV regime.Methods: We used the X-shooter spectrograph at the ESO Very Large Telescope(VLT) to obtain simultaneous optical to near-IR spectroscopy of the burstafterglow 0.5 days after the explosion.Results: The spectra exhibit both absorption and emission lines from materialin a host galaxy at z = 0.151. Thus GRB 221009A was a relatively nearby burstwith a luminosity distance of 745 Mpc. Its host galaxy properties(star-formation rate and metallicity) are consistent with those of LGRB hostsat low redshift. This redshift measurement yields information on the energy ofthe burst. The inferred isotropic energy release, $E_{\rm iso} > 5 \times10^{54}$ erg, lies at the high end of the distribution, making GRB 221009A oneof the nearest and also most energetic GRBs observed to date. We estimate thatsuch a combination (nearby as well as intrinsically bright) occurs between onceevery few decades to once per millennium.",42
1,Flaring activity from magnetic reconnection in BL Lacertae,"['S. Agarwal', 'B. Banerjee', 'A. Shukla', 'J. Roy', 'S. Acharya', 'B. Vaidya', 'V. R. Chitnis', 'S. M. Wagner', 'K. Mannheim', 'M. Branchesi']","6 pages, 3 figures, 1 table, Accepted for publication in MNRAS-L",High Energy Astrophysical Phenomena (astro-ph.HE),"The evolution of the spectral energy distribution during flares constrainsmodels of particle acceleration in blazar jets. The archetypical blazar BL Lacprovided a unique opportunity to study spectral variations during an extendedstrong flaring episode from 2020-2021. During its brightest $\gamma$-ray state,the observed flux (0.1-300 GeV) reached up to$2.15\,\times\,10^{-5}\,\rm{ph\,cm^{-2}\,s^{-1}}$, with sub-hour scalevariability. The synchrotron hump extended into the X-ray regime showing aminute-scale flare with an associated peak shift of inverse-Compton hump ingamma-rays. In shock acceleration models, a high Doppler factor value $>$100 isrequired to explain the observed rapid variability, change of state, and$\gamma$-ray peak shift. Assuming particle acceleration in mini-jets producedby magnetic reconnection during flares, on the other hand, alleviates theconstraint on required bulk Doppler factor. In such jet-in-jet models, observedspectral shift to higher energies (towards TeV regime) and simultaneous rapidvariability arises from the accidental alignment of a magnetic plasmoid withthe direction of the line of sight. We infer a magnetic field of$\sim0.6\,\rm{G}$ in a reconnection region located at the edge of BLR($\sim0.02\,\rm{pc}$). The scenario is further supported by log-normal fluxdistribution arising from merging of plasmoids in reconnection region.",10
2,A structured jet explains the extreme GRB 221009A,"[""B. O'Connor"", 'E. Troja', 'G. Ryan', 'P. Beniamini', 'H. van Eerten', 'J. Granot', 'S. Dichiara', 'R. Ricci', 'V. Lipunov', 'J. H. Gillanders', 'R. Gill', 'M. Moss', 'S. Anand', 'I. Andreoni', 'R. L. Becerra', 'D. A. H. Buckley', 'N. R. Butler', 'S. B. Cenko', 'A. Chasovnikov', 'J. Durbak', 'C. Francile', 'E. Hammerstein', 'A. J. van der Horst', 'M. Kasliwal', 'C. Kouveliotou', 'A. S. Kutyrev', 'W. H. Lee', 'G. Srinivasaragavan', 'V. Topolev', 'A. M. Watson', 'Y. H. Yang', 'K. Zhirkov']","Submitted version. 53 pages, 9 figures, 6 tables",High Energy Astrophysical Phenomena (astro-ph.HE),"Long duration gamma-ray bursts (GRBs) are powerful cosmic explosions,signaling the death of massive stars. Among them, GRB 221009A is by far thebrightest burst ever observed. Due to its enormous energy($E_\textrm{iso}\!\approx$10$^{55}$ erg) and proximity ($z\!\approx$0.15), GRB221009A is an exceptionally rare event that pushes the limits of our theories.We present multi-wavelength observations covering the first three months of itsafterglow evolution. The X-ray brightness decays as a power-law with slope$\approx\!t^{-1.66}$, which is not consistent with standard predictions forjetted emission. We attribute this behavior to a shallow energy profile of therelativistic jet. A similar trend is observed in other energetic GRBs,suggesting that the most extreme explosions may be powered by structured jetslaunched by a common central engine.",32
3,AGN Accretion Discs,['Jean-Pierre Lasota'],"Updated version of Chapter 3 in ""Active Galactic Nuclei""; F. Combes ed.; iSTE/Wiley 2022; DOI:https://doi.org/10.1002/9781394163724. One figure (Fig. 2.) and several references added. A graduate-student level lecture on accretion discs in active galactic nuclei, not a review article. arXiv admin note: substantial text overlap with arXiv:1505.02172",High Energy Astrophysical Phenomena (astro-ph.HE),"I present the elements of accretion-disc physics applied to active galacticnuclei. The accretion driving mechanisms are discussed, then models ofgeometrically-thin discs, both stationary and time-dependent, are addressed.Disc's self-gravitation in the AGN context is presented. The shapes of spectralline from accretion discs are explained in both newtonian and relativisticcases. The physics of disc's thermal and viscous instabilities is dicussed indetail and models are applied to AGN discs. Finally, the problems of thickaccretion flows (ADAFs and slim discs), disc coronae, winds and jets arediscussed in some detail. This is a graduate-student level lecture, not areview article",1
4,Searching for TeV Dark Matter in Irregular dwarf galaxies with HAWC Observatory,"['R. Alfaro', 'C. Alvarez', 'J.C. Arteaga-Velázquez', 'D. Avila Rojas', 'H.A. Ayala Solares', 'R. Babu', 'E. Belmont-Moreno', 'K.S. Caballero-Mora', 'T. Capistrán', 'A. Carramiñana', 'S. Casanova', 'O. Chaparro-Amaro', 'U. Cotti', 'J. Cotzomi', 'E. De la Fuente', 'R. Diaz Hernandez', 'B.L. Dingus', 'M.A. DuVernois', 'M. Durocher', 'J.C. Díaz-Vélez', 'C. Espinoza', 'K.L. Fan', 'N. Fraija', 'J.A. García-González', 'F. Garfias', 'M.M. González', 'J.P. Harding', 'S. Hernández-Cadena', 'D. Huang', 'F. Hueyotl-Zahuantitla', 'A. Iriarte', 'V. Joshi', 'S. Kaufmann', 'D. Kieda', 'J. Lee', 'H. León Vargas', 'J.T. Linnemann', 'A.L. Longinotti', 'G. Luis-Raya', 'K. Malone', 'O. Martinez', 'J. Martínez-Castro', 'J.A. Matthews', 'E. Moreno', 'M. Mostafá', 'A. Nayerhoda', 'L. Nellen', 'N. Omodei', 'Y. Pérez Araujo', 'E.G. Pérez-Pérez', 'C.D. Rho', 'D. Rosa-González', 'H. Salazar', 'D. Salazar-Gallegos', 'A. Sandoval', 'J. Serna-Franco', 'Y. Son', 'R.W. Springer', 'O. Tibolla', 'K. Tollefson', 'I. Torres', 'R. Torres-Escobedo', 'R. Turner', 'F. Ureña-Mena', 'L. Villaseñor', 'X. Wang', 'E. Willox', 'H. Zhou', 'C. de León', 'V. Gammaldi', 'E. Karukes', 'P. Salucci']","22 pages, 11 figures, 3 tables",High Energy Astrophysical Phenomena (astro-ph.HE),"We present the results of dark matter (DM) searches in a sample of 31 dwarfirregular (dIrr) galaxies within the field of view of the HAWC Observatory.dIrr galaxies are DM dominated objects, which astrophysical gamma-ray emissionis estimated to be negligible with respect to the secondary gamma-ray fluxexpected by annihilation or decay of Weakly Interacting Massive Particles(WIMPs). While we do not see any statistically significant DM signal in dIrrgalaxies, we present the exclusion limits ($95\%~\text{C.L.}$) for annihilationcross-section and decay lifetime for WIMP candidates with masses between $1$and $100~\text{TeV}$. Exclusion limits from dIrr galaxies are relevant andcomplementary to benchmark dwarf Spheroidal (dSph) galaxies. In fact, dIrrgalaxies are targets kinematically different from benchmark dSph, preservingthe footprints of different evolution histories. We compare the limits fromdIrr galaxies to those from ultrafaint and classical dSph galaxies previouslyobserved with HAWC. We find that the contraints are comparable to the limitsfrom classical dSph galaxies and $\thicksim2$ orders of magnitude weaker thanthe ultrafaint dSph limits.",72
5,The muon deficit problem: a new method to calculate the muon rescaling factors and the Heitler-Matthews beta exponent,"['Kevin Almeida Cheminant', 'Dariusz Góra', 'Nataliia Borodai', 'Ralph Engel', 'Tanguy Pierog', 'Jan Pękala', 'Markus Roth', 'Jarosław Stasielak', 'Michael Unger', 'Darko Veberič', 'Henryk Wilczyński']","8 pages, 5 figures, 2 tables, accepted for publication in the proceedings of the 27th European Cosmic Ray Symposium",High Energy Astrophysical Phenomena (astro-ph.HE); Instrumentation and Methods for Astrophysics (astro-ph.IM),"Simulations of extensive air showers using current hadronic interactionmodels predict too small numbers of muons compared to events observed in theair-shower experiments, which is known as the muon-deficit problem. In thiswork, we present a new method to calculate the factor by which the muon signalobtained via Monte-Carlo simulations must be rescaled to match the data, aswell as the beta exponent from the Heitler-Matthews model which governs thenumber of muons found in an extensive air shower as a function of the mass andthe energy of the primary cosmic ray. This method uses the so-called z variable(difference between the total reconstructed and the simulated signals), whichis connected to the muon signal and is roughly independent of the zenith angle,but depends on the mass of the primary cosmic ray. Using a mock dataset builtfrom QGSJetII-04, we show that such a method allows us to reproduce the averagemuon signal from this dataset using Monte-Carlo events generated with theEPOS-LHC hadronic model, with accuracy better than 6%. As a consequence of thegood recovery of the muon signal for each primary included in the analysis,also the beta exponent can be obtained with accuracy of less than 1% for thestudied system. Detailed simulations show a dependence of the beta exponent onhadronic interaction properties, thus the determination of this parameter isimportant for understanding the muon deficit problem.",11
6,Searching for phase transitions in neutron stars with modified Gaussian processes,"['Debora Mroczek', 'M. Coleman Miller', 'Jacquelyn Noronha-Hostler', 'Nicolas Yunes']","10 pages, 4 figures, CSQCD IX proceedings",High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph); Nuclear Theory (nucl-th),"Gaussian processes provide a promising framework by which to extrapolate theequation of state (EoS) of cold, catalyzed matter beyond $1-2$ times nuclearsaturation density. Here we discuss how to extend Gaussian processes to includenontrivial features in the speed of sound, such as bumps, kinks, and plateaus,which are predicted by nuclear models with exotic degrees of freedom. Using afully Bayesian analysis incorporating measurements from X-ray sources,gravitational wave observations, and perturbative QCD results, we show thatthese features are compatible with current constraints and report on how thefeatures affect the EoS posteriors.",4
7,Constraints on Extragalactic Background Light using TeV Observations of BL Lacertae objects,"['Longhua Qin', 'Jiancheng Wang', 'Quangui Gao', 'Weiwei Na', 'Huaizhen Li', 'Ao Wang', 'Chuyuan Yang', 'Jianping Yang']",Accepted by MNRAS,High Energy Astrophysical Phenomena (astro-ph.HE),"The extragalactic background light (EBL) in the IR to UV bands partly absorbsvery high energy (VHE, $E \geq$ 100GeV) $\gamma-$ray photons travelling overcosmological distances via pair production. In this paper, to get strongerconstraints on EBL, we use the deliberate selection of the EBL model and dataof five BL Lacs with better statistics and the harder spectra to limit the EBLdensity and the radiation mechanism of BL Lacs. We constrain the upper limit ofthe EBL density by fitting the spectral energy distributions (SEDs) of TeV BLLacs and find that our results are compatible with the published measurement,reaching 50 $\rm{nW m^{-2} sr^{-1}}$. We also obtain that the EBL is notnecessarily transparent to high VHE photons. We fix the intrinsic spectralindex $\Gamma_i$ of TeV BL Lacs as 1.0 and 1.5 under observation evidence andmodel assumption. Comparing the EBL density given by galaxy count and $Spitzer$observations, we then obtain that 1ES 1101-232 has $\Gamma_i$ $\leq$ 1.0 and1ES 0229+200 should have $\Gamma_i$ not harder than 1.0. We demonstrate thatthe common radiation assumption of BL Lacs, in which the $\Gamma_i$ is softerthan 1.5, should be revisited. Furthermore, we propose that the upper EBLdensity could be given by fitting the hardest energy spectra of TeV BL Lacs.",8
8,Constraining Kerr Naked Singularity with Shadow Observations,"['Bao Nguyen', 'Pierre Christian', 'Chi-kwan Chan']","10 pages, 7 figures",High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc),"Direct imaging of supermassive black holes at event horizon scaleresolutions, as recently done by the Event Horizon Telescope (EHT), allows fortesting alternative models to supermassive black holes such as Kerr nakedsingularities (KNSs). We demonstrate that the KNS shadow can be closed, open,or vanishing, depending on the spins and observational inclination angles. Westudy the critical parameters where the KNS shadow opens a gap, a distinctivephenomenon that does not happen with the black hole shadow. We show that theKNS shadow can only be closed for dimensionless spin $a \lesssim 1.18$ andvanishing for $a \gtrsim 1.18$ for certain ranges of inclination angles. Wealso perform numerical general relativistic ray tracing calculations, whichreproduce the analytical topological change in the KNS shadow and illustrateother observational features within the shadow due to the lack of an eventhorizon. By comparing with black hole shadow observations, the topologicalchange in the shadow of KNSs can be used to test the cosmic censorshiphypothesis and KNSs as alternative models to SMBHs.",3
9,Probing IC/CMB Interpretation for the X-ray knots of AGN through VHE observations,"['Amal A. Rahman', 'S. Sahayanathan', 'Malik Zahoor', 'P. A Subha']",Submitted to MNRAS Main Joural,High Energy Astrophysical Phenomena (astro-ph.HE),"Detection of hard X-ray spectrum from the kilo-parsec scale jet of activegalactic nuclei cannot be accounted to the synchrotron emission mechanism fromthe electron distribution responsible for the radio/optical emission. Alternateexplanations are the inverse Compton scattering of cosmic microwave backgroundphotons (IC/CMB) or synchrotron emission from a second electron population.When the X-ray emission is interpreted as IC/CMB process, the Compton spectrumpeak at GeV energy and were predicted to be the Fermi candidate sources. Thenon-detection of significant gamma ray flux from these galaxies by Fermidisfavoured the IC/CMB interpretation of the high energy emission. We extendthis study to predict the very high energy (VHE) gamma ray emission due toIC/CMB model which can be investigated by Cherenkov Telescope Array(CTA). Themodel parameters deciding the broadband spectral energy distribution areestimated using analytical approximation of the emissivity functions. Theemission model is extrapolated to VHE energy and then compared with the CTAOsensitivity. Particularly, we selected the sources for which the IC/CMB modelis not ruled out by initial Fermi observations.",4
