,title,authors,comment,subjects,abstract,nb_of_aut
0,The AFISS web platform for the correlation of high-energy transient events,"['A. Addis', 'A. Bulgarelli', 'N. Parmiggiani', 'J. Rodi', 'A. Bazzano']","4 pages, 4 figures, Astronomical Data Analysis Software and System XXXII (31 October-4 November 2022)",Instrumentation and Methods for Astrophysics (astro-ph.IM),"In the multi-messenger era, facilities share their results with thescientific community through networks such as the General Coordinates Networkto study transient phenomena (e.g., Gamma-ray bursts) and implement real-timeanalysis pipelines to detect transient events, reacting to science alertsreceived from other observatories. The fast analysis of transient events iscrucial for detecting counterparts of gravitational waves and neutrinocandidate events. In this context, collecting scientific results from differenthigh-energy satellites observing the same transient event represents a key stepin improving the statistical significance of the high-energy candidate events.This project aims to develop a system and a web platform to share informationand scientific results of transient events between high-energy satellites withINAF participation (AGILE, FERMI, INTEGRAL and SWIFT). The AFISS platformimplements the COMET VO- Event broker and provides a web portal where the usersvisualize the list of transient events detected by multi-messenger facilitiesand received through the GCN. The web portal could show, for each event, asummary of the scientific results shared by the real-time analysis pipelinesand a list of time-correlated transient events. In addition, the platform isready to receive results from participating facilities on sub-threshold events(STE) that cannot be shared with the community due to the low statisticalsignificance. If the platform finds a time correlation between two or moreSTEs, it can promote them to science alerts. The web interface shows the listof STEs with possible time correlation with other STEs or science alerts. Theplatform notifies the users with an email when a new transient event isreceived.",5
1,ATLAS-TEIDE: The next generations of ATLAS units for the Teide Observatory,"['Javier Licandro', 'John Tonry', 'Miguel R. Alarcon', 'Miquel Serra-Ricart', 'Larry Denneau']","5 pages, 8 figures, Conference paper",Instrumentation and Methods for Astrophysics (astro-ph.IM); Earth and Planetary Astrophysics (astro-ph.EP),"In this work we present the design of the ATLAS unit (AsteroidTerrestrial-impact Last Alert System) that will be installed at TeideObservatory in Tenerife island (Spain). ATLAS-Teide will be built by theInstituto de Astrofisica de Canarias (IAC) and will be operated as part of theATLAS network in the framework of an operation and science exploitationagreement between the IAC and the ATLAS team at University of Hawaii.ATLAS-Teide will be the first ATLAS unit based on commercial on the shelf(COTS) components. Its design is modular, each module (building block) consistof four Celestron RASA 11 telescopes that point to the same sky field, equippedwith QHY600PRO CMOS cameras on an equatorial Direct Drive mount. Each module isequivalent to a 56cm effective diameter telescope and provides a 7.3 deg^2field of view and a 1.26 arcsec/pix plate scale. ATLAS-Teide will consist offour ATLAS modules in a roll-off roof building. This configuration allows tocover the same sky area of the actual ATLAS telescopes.The first ATLAS module was installed in November 2022 in an existingclamshell at the TO. This module (ATLAS-P) is being used as a prototype to testthe system capabilities, develop the needed software (control, imageprocessing, etc.) and complete the fully integration of ATLAS-Teide in theATLAS network. The preliminary results of the tests are presented here, and thebenefits of the new ATLAS design are discussed.",5
2,The Gamma-Flash data acquisition system for observation of terrestrial gamma-ray flashes,"['Andrea Bulgarelli', 'Antonio Addis', 'Alessio Aboudan', 'Ismael Abu', 'Carla Andreani', 'Andrea Argan', 'Riccardo Campana', 'Paolo Calabretto', 'Carlotta Pittori', ""Fabio D'Amico"", 'Imma Donnarumma', 'Adriano De Rosa', 'Fabio Fuschino', 'Giuseppe Gorini', 'Giuseppe Levi', 'Nicolò Parmiggiani', 'Piergiorgio Picozza', 'Gianluca Polenta', 'Enrico Preziosi', 'Roberto Senesi', 'Alessandro Ursi', 'Valerio Vagelli', 'Enrico Virgilli']","4 pages, 1 figure, Astronomical Data Analysis Software and System XXXII (2022)",Instrumentation and Methods for Astrophysics (astro-ph.IM),"Gamma-Flash is an Italian project funded by the Italian Space Agency (ASI)and led by the National Institute for Astrophysics (INAF), devoted to theobservation and study of high-energy phenomena, such as terrestrial gamma-rayflashes and gamma-ray glows produced in the Earth's atmosphere duringthunderstorms. The project's detectors and the data acquisition and controlsystem (DACS) are placed at the ""O. Vittori"" observatory on the top of Mt.Cimone (Italy). Another payload will be placed on an aircraft for observationsof thunderstorms in the air. This work presents the architecture of the dataacquisition and control system and the data flow.",23
3,Investigating galactic double white dwarfs for sub-milliHz gravitational wave missions,"['Gang Wang', 'Zhen Yan', 'Bin Hu', 'Wei-Tou Ni']","16 pages, 10 figures",General Relativity and Quantum Cosmology (gr-qc); Astrophysics of Galaxies (astro-ph.GA); Instrumentation and Methods for Astrophysics (astro-ph.IM),"A large number of galactic binary systems emit gravitational waves (GW)continuously with frequencies below $\sim$10 mHz. The LISA mission couldidentify the tens of thousands of binaries over years of observation and willbe subject to the confusion noise around 1 mHz yielded by the unresolvedsources. Beyond LISA, there are several missions have been proposed to observeGWs in the sub-mHz range where the galactic foreground is expected to beoverwhelming the instrumental noises. In this study, we investigate thedetectability of sub-mHz GW missions to detect the galactic double white dwarf(DWD) binaries and evaluate the confusion noise produced by the undistinguishedDWDs. This confusion noise could also be viewed as a stochastic GW foregroundand be effectively observed in the sub-mHz band. The parameter determinationsfor the modeled foreground are examined by employing different detectorsensitivities and population models. By assuming the determined foregroundscould be subtracted from the data, we evaluate the residuals which are expectedto have power spectral densities two orders of magnitude lower than theoriginals data.",4
4,A Deep Learning Technique to Control the Non-linear Dynamics of a Gravitational-wave Interferometer,"['Peter Xiangyuan Ma', 'Gabriele Vajente']",,Machine Learning (cs.LG); Instrumentation and Methods for Astrophysics (astro-ph.IM); General Relativity and Quantum Cosmology (gr-qc),"In this work we developed a deep learning technique that successfully solvesa non-linear dynamic control problem. Instead of directly tackling the controlproblem, we combined methods in probabilistic neural networks and aKalman-Filter-inspired model to build a non-linear state estimator for thesystem. We then used the estimated states to implement a trivial controller forthe now fully observable system. We applied this technique to a crucialnon-linear control problem that arises in the operation of the LIGO system, aninterferometric gravitational-wave observatory. We demonstrated in simulationthat our approach can learn from data to estimate the state of the system,allowing a successful control of the interferometer's mirror . We alsodeveloped a computationally efficient model that can run in real time at highsampling rate on a single modern CPU core, one of the key requirements for theimplementation of our solution in the LIGO digital control system. We believethese techniques could be used to help tackle similar non-linear controlproblems in other applications.",2
5,The muon deficit problem: a new method to calculate the muon rescaling factors and the Heitler-Matthews beta exponent,"['Kevin Almeida Cheminant', 'Dariusz Góra', 'Nataliia Borodai', 'Ralph Engel', 'Tanguy Pierog', 'Jan Pękala', 'Markus Roth', 'Jarosław Stasielak', 'Michael Unger', 'Darko Veberič', 'Henryk Wilczyński']","8 pages, 5 figures, 2 tables, accepted for publication in the proceedings of the 27th European Cosmic Ray Symposium",High Energy Astrophysical Phenomena (astro-ph.HE); Instrumentation and Methods for Astrophysics (astro-ph.IM),"Simulations of extensive air showers using current hadronic interactionmodels predict too small numbers of muons compared to events observed in theair-shower experiments, which is known as the muon-deficit problem. In thiswork, we present a new method to calculate the factor by which the muon signalobtained via Monte-Carlo simulations must be rescaled to match the data, aswell as the beta exponent from the Heitler-Matthews model which governs thenumber of muons found in an extensive air shower as a function of the mass andthe energy of the primary cosmic ray. This method uses the so-called z variable(difference between the total reconstructed and the simulated signals), whichis connected to the muon signal and is roughly independent of the zenith angle,but depends on the mass of the primary cosmic ray. Using a mock dataset builtfrom QGSJetII-04, we show that such a method allows us to reproduce the averagemuon signal from this dataset using Monte-Carlo events generated with theEPOS-LHC hadronic model, with accuracy better than 6%. As a consequence of thegood recovery of the muon signal for each primary included in the analysis,also the beta exponent can be obtained with accuracy of less than 1% for thestudied system. Detailed simulations show a dependence of the beta exponent onhadronic interaction properties, thus the determination of this parameter isimportant for understanding the muon deficit problem.",11
6,"Retrieval study of cool, directly imaged exoplanet 51 Eri b","['Niall Whiteford', 'Alistair Glasse', 'Katy L. Chubb', 'Daniel Kitzmann', 'Shrishmoy Ray', 'Mark W. Phillips', 'Beth A. Biller', 'Paul I. Palmer', 'Ken Rice', 'Ingo P. Waldmann', 'Quentin Changeat', 'Nour Skaf', 'Jason Wang', 'Billy Edwards', 'Ahmed Al-Refaie']",,Earth and Planetary Astrophysics (astro-ph.EP); Instrumentation and Methods for Astrophysics (astro-ph.IM); Solar and Stellar Astrophysics (astro-ph.SR),"Retrieval methods are a powerful analysis technique for modellingexoplanetary atmospheres by estimating the bulk physical and chemicalproperties that combine in a forward model to best-fit an observed spectrum,and they are increasingly being applied to observations of directly-imagedexoplanets. We have adapted TauREx3, the Bayesian retrieval suite, for theanalysis of near-infrared spectrophotometry from directly-imaged gas giantexoplanets and brown dwarfs. We demonstrate TauREx3's applicability tosub-stellar atmospheres by presenting results for brown dwarf benchmark GJ 570Dwhich are consistent with previous retrieval studies, whilst also exhibitingsystematic biases associated with the presence of alkali lines. We also presentresults for the cool exoplanet 51 Eri b, the first application of a freechemistry retrieval analysis to this object, using spectroscopic observationsfrom GPI and SPHERE. While our retrieval analysis is able to explainspectroscopic and photometric observations without employing cloud extinction,we conclude this may be a result of employing a flexible temperature-pressureprofile which is able to mimic the presence of clouds. We present Bayesianevidence for an ammonia detection with a 2.7$\sigma$ confidence, the firstindication of ammonia in an exoplanetary atmosphere. This is consistent withthis molecule being present in brown dwarfs of a similar spectral type. Wedemonstrate the chemical similarities between 51 Eri b and GJ 570D in relationto their retrieved molecular abundances. Finally, we show that overallretrieval conclusions for 51 Eri b can vary when employing different spectraldata and modelling components, such as temperature-pressure and cloudstructures.",15
7,Search for the Epoch of Reionisation with HERA: Upper Limits on the Closure Phase Delay Power Spectrum,"['Pascal M. Keller', 'Bojan Nikolic', 'Nithyanandan Thyagarajan', 'Chris L. Carilli', 'Gianni Bernardi', 'Ntsikelelo Charles', 'Landman Bester', 'Oleg M. Smirnov', 'Nicholas S. Kern', 'Joshua S. Dillon', 'Bryna J. Hazelton', 'Miguel F. Morales', 'Daniel C. Jacobs', 'Aaron R. Parsons', 'Zara Abdurashidova', 'Tyrone Adams', 'James E. Aguirre', 'Paul Alexander', 'Zaki S. Ali', 'Rushelle Baartman', 'Yanga Balfour', 'Adam P. Beardsley', 'Tashalee S. Billings', 'Judd D. Bowman', 'Richard F. Bradley', 'Philip Bull', 'Jacob Burba', 'Steven Carey', 'Carina Cheng', 'David R. DeBoer', 'Eloy de Lera Acedo', 'Matt Dexter', 'Nico Eksteen', 'John Ely', 'Aaron Ewall-Wice', 'Nicolas Fagnoni', 'Randall Fritz', 'Steven R. Furlanetto', 'Kingsley Gale-Sides', 'Brian Glendenning', 'Deepthi Gorthi', 'Bradley Greig', 'Jasper Grobbelaar', 'Ziyaad Halday', 'Jacqueline N. Hewitt', 'Jack Hickish', 'Austin Julius', 'MacCalvin Kariseb', 'Joshua Kerrigan', 'Piyanat Kittiwisit', 'Saul A. Kohn', 'Matthew Kolopanis', 'Adam Lanman', 'Paul La Plante', 'Adrian Liu', 'Anita Loots', 'Yin-Zhe Ma', 'David Harold Edward MacMahon', 'Lourence Malan', 'Cresshim Malgas', 'Keith Malgas', 'Bradley Marero', 'Zachary E. Martinot', 'Andrei Mesinger', 'Mathakane Molewa', 'Tshegofalang Mosiane', 'Steven G. Murray', 'Abraham R. Neben', 'Hans Nuwegeld', 'Robert Pascua', 'Nipanjana Patra', 'Samantha Pieterse', 'Jonathan C. Pober', 'Nima Razavi-Ghods', 'James Robnett', 'Kathryn Rosie', 'Mario G. Santos', 'Peter Sims', 'Craig Smith', 'Hilton Swarts', 'Pieter Van Wyngaarden', 'Peter K. G. Williams', 'Haoxuan Zheng']","16 pages, 14 figures, accepted for publication by MNRAS",Cosmology and Nongalactic Astrophysics (astro-ph.CO); Instrumentation and Methods for Astrophysics (astro-ph.IM),"Radio interferometers aiming to measure the power spectrum of the redshifted21 cm line during the Epoch of Reionisation (EoR) need to achieve anunprecedented dynamic range to separate the weak signal from overwhelmingforeground emissions. Calibration inaccuracies can compromise the sensitivityof these measurements to the effect that a detection of the EoR is precluded.An alternative to standard analysis techniques makes use of the closure phase,which allows one to bypass antenna-based direction-independent calibration.Similarly to standard approaches, we use a delay spectrum technique to searchfor the EoR signal. Using 94 nights of data observed with Phase I of theHydrogen Epoch of Reionization Array (HERA), we place approximate constraintson the 21 cm power spectrum at $z=7.7$. We find at 95% confidence that the 21cm EoR brightness temperature is $\le$(372)$^2$ ""pseudo"" mK$^2$ at 1.14""pseudo"" $h$ Mpc$^{-1}$, where the ""pseudo"" emphasises that these limits are tobe interpreted as approximations to the actual distance scales and brightnesstemperatures. Using a fiducial EoR model, we demonstrate the feasibility ofdetecting the EoR with the full array. Compared to standard methods, theclosure phase processing is relatively simple, thereby providing an importantindependent check on results derived using visibility intensities, or related.",83
8,Analyzing the cosmic architecture in the vicinity of Grand-design and Flocculent spiral galaxies with Local Geometric Index,"['Suman Sarkar', 'Ganesh Narayanan', 'Arunima Banerjee']","19 pages, 7 figures and 3 tables",Astrophysics of Galaxies (astro-ph.GA); Cosmology and Nongalactic Astrophysics (astro-ph.CO); Instrumentation and Methods for Astrophysics (astro-ph.IM),"We explore the environment of 351 Grand-design and 541 Flocculent spiralgalaxies recently identified employing machine learning techniques from the$17^{th}$ data release of Sloan Digital Sky Survey. We introduce a novelestimator called the Local Geometric Index to quantify the morphology of thelocal environment of these 892 galaxies. Based on the Local Geometric Index ofthe galaxies, we identify their local environments to be void, sheet, filamentor cluster. We find that the Grand-designs are mostly located in denseenvironments like clusters and filaments, whereas the Flocculents lie in sparseenvironments in voids and sheets. A $p$-value $<$ $10 ^{-10}$ from aKolmogorov-Smirnov test indicates that our results are statisticallysignificant at $99.9\%$ confidence level. Further, we note that denseenvironments with large tidal flows are dominated by the Grand-designs.Metal-poor environments, such as sheets and voids, with a high abundance of gasclouds, on the other hand, are mostly populated by the Flocculents.",3
9,VGOS VLBI Intensives between MACGO12M and WETTZ13S for the rapid determination of UT1-UTC,"['Matthias Schartner', 'Leonid Petrov', 'Christian Plötz', 'Frank G. Lemoine', 'Eusebio Terrazas', 'Benedikt Soja']","8 pages, 5 figures",Geophysics (physics.geo-ph); Earth and Planetary Astrophysics (astro-ph.EP); Instrumentation and Methods for Astrophysics (astro-ph.IM),"In this work, we present a status update and results of the designatedresearch and development VLBI Intensive program VGOS-INT-S, observed betweenMACGO12M and WETTZ13S for the rapid determination of the Earth's phase ofrotation, expressed via UT1-UTC. The main novelty of these sessions is the useof a special observation strategy, rapidly alternating between high- andlow-elevation scans, enabling an improved determination of delays caused by theneutral atmosphere. Since 2021, 25 Intensive sessions have been observedsuccessfully. In early 2022, VGOS-INT-S was among the most accurate Intensiveprograms with an average formal error $\sigma_{UT1-UTC}$ of 3.1 $\mu$s and abias w.r.t. IERS C04 of 1.1 $\mu$s. Later, the session performance decreaseddue to multiple technical difficulties.",6
