,title,authors,comment,subjects,abstract,nb_of_aut
0,A red giant orbiting a black hole,"['Kareem El-Badry', 'Hans-Walter Rix', 'Yvette Cendes', 'Antonio C. Rodriguez', 'Charlie Conroy', 'Eliot Quataert', 'Keith Hawkins', 'Eleonora Zari', 'Melissa Hobson', 'Katelyn Breivik', 'Arne Rau', 'Edo Berger', 'Sahar Shahaf', 'Rhys Seeburger', 'Kevin B. Burdge', 'David W. Latham', 'Lars A. Buchhave', 'Allyson Bieryla', 'Dolev Bashi', 'Tsevi Mazeh', 'Simchon Faigler']","22 pages, 15 figures. Submitted to MNRAS",Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),"We report spectroscopic and photometric follow-up of a dormant black hole(BH) candidate from Gaia DR3. We show that the system, which we call Gaia BH2,contains a $\sim 1M_{\odot}$ red giant and a dark companion with mass $M_2 =8.9\pm 0.3\,M_{\odot}$ that is very likely a BH. The orbital period, $P_{\rmorb} = 1277$ days, is much longer than that of any previously studied BHbinary. Our radial velocity (RV) follow-up over a 6-month period spans most ofthe orbit's dynamic range in RV and is in excellent agreement with predictionsof the Gaia solution. UV imaging and high-resolution optical spectra rule outall plausible luminous companions that could explain the orbit. The star is abright ($G=12.3$), slightly metal-poor ($\rm [Fe/H]=-0.22$) low-luminositygiant ($T_{\rm eff}=4600\,\rm K$; $R = 7.9\,R_{\odot}$; $\log\left[g/\left({\rmcm\,s^{-2}}\right)\right] = 2.6$). The binary's orbit is moderately eccentric($e=0.52$). The giant is strongly enhanced in $\alpha-$elements, with $\rm[\alpha/Fe] = +0.26$, but the system's Galactocentric orbit is typical of thethin disk. We obtained X-ray and radio nondetections of the source nearperiastron, which support BH accretion models in which the net accretion rateat the horizon is much lower than the Bondi-Hoyle-Lyttleton rate. At a distanceof 1.16 kpc, Gaia BH2 is the second-nearest known BH, after Gaia BH1. Its orbit-- like that of Gaia BH1 -- seems too wide to have formed through commonenvelope evolution. Gaia BH1 and BH2 have orbital periods at opposite edges ofthe Gaia DR3 sensitivity curve, perhaps hinting at a bimodal intrinsic perioddistribution for wide BH binaries. Dormant BH binaries like Gaia BH1 and GaiaBH2 likely significantly outnumber their close, X-ray bright cousins, but theirformation pathways remain uncertain.",21
1,Observational Signatures of Carbon-Oxygen White Dwarf Merger Remnants,"['Philippe Z. Yao', 'Eliot Quataert', 'Andy Goulding']","12 pages, 8 figures, 2 tables, submitted to MNRAS",Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),"Many double white dwarf (WD) mergers likely do not lead to a promptthermonuclear explosion. We investigate the prospects for observationallydetecting the surviving remnants of such mergers, focusing on the case ofmergers of Carbon-Oxygen WDs. For $\sim 10^4$ yr, the merger remnant isobservationally similar to an extreme AGB star evolving to become a massive WD.Identifying merger remnants is thus easiest in galaxies with high stellarmasses (high WD merger rate) and low star formation rates (low birth rate of$\sim 6-10 \,{\rm M_{\odot}}$ stars). Photometrically identifying mergerremnants is challenging even in these cases because the merger remnants appearsimilar to He stars and post-outburst classical novae. We propose that the mostpromising technique for discovering WD merger remnants is through their unusualsurrounding photoionized nebulae. We use CLOUDY photoionization calculations toinvestigate their unique spectral features. Merger remnants should produce weakhydrogen lines and strong carbon and oxygen recombination and fine-structurelines in the UV, optical and IR. With integral field spectrographs, we predictthat hundreds of candidates are detectable in M87 and other nearby massivegalaxies. Dust somewhat reduces the optical line emission for nebula radii$\lesssim 10^{17}$ cm, but the sources spend most of their time with largerradii when dust is less important. Our models roughly reproduce the WISE nebulasurrounding the Galactic WD merger candidate IRAS 00500+6713; we predictdetectable [Ne VI] and [Mg VII] lines with JWST but that the mid-IR WISEemission is dominated by dust not fine-structure lines.",3
2,The CARMENES search for exoplanets around M dwarfs. Line-by-line sensitivity to activity in M dwarfs,"['M. Lafarga', 'I. Ribas', 'M. Zechmeister', 'A. Reiners', 'Á. López-Gallifa', 'D. Montes', 'A. Quirrenbach', 'P. J. Amado', 'J. A. Caballero', 'M. Azzaro', 'V. J. S. Béjar', 'A. P. Hatzes', 'Th. Henning', 'S. V. Jeffers', 'A. Kaminski', 'M. Kürster', 'P. Schöfer', 'A. Schweitzer', 'H. M. Tabernero', 'M. R. Zapatero Osorio']",Accepted for publication in A&A,Solar and Stellar Astrophysics (astro-ph.SR); Earth and Planetary Astrophysics (astro-ph.EP),"Radial velocities (RVs) measured from high-resolution stellar spectra areroutinely used to detect and characterise orbiting exoplanet companions. Thedifferent lines present in stellar spectra are created by several species,which are non-uniformly affected by stellar variability features such as spotsor faculae. Stellar variability distorts the shape of the spectral absorptionlines from which precise RVs are measured, posing one of the main problems inthe study of exoplanets. In this work we aim to study how the spectral linespresent in M dwarfs are independently impacted by stellar activity. We usedCARMENES optical spectra of six active early- and mid-type M dwarfs to computeline-by-line RVs and study their correlation with several well-studied proxiesof stellar activity. We are able to classify spectral lines based on theirsensitivity to activity in five M dwarfs displaying high levels of stellaractivity. We further used this line classification to compute RVs withactivity-sensitive lines and less sensitive lines, enhancing or mitigatingstellar activity effects in the RV time series. For specific sets of the leastactivity-sensitive lines, the RV scatter decreases by ~ 2 to 5 times theinitial one, depending on the star. Finally, we compare these lines in thedifferent stars analysed, finding the sensitivity to activity to vary from starto star. Despite the high density of lines and blends present in M dwarfstellar spectra, we find that a line-by-line approach is able to deliverprecise RVs. Line-by-line RVs are also sensitive to stellar activity effects,and they allow for an accurate selection of activity-insensitive lines tomitigate activity effects in RV. However, we find stellar activity effects tovary in the same insensitive lines from star to star.",20
3,The variability and radial velocity of planetary nebulae central stars,"['A. Ali', 'A. Mindil']","9 pages, 1 figure, 3 tables",Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),"The extremely accurate estimates of stellar variability and radial velocityin the Gaia Data Release 3 (Gaia DR3) have enabled us to examine the closebinarity and radial velocity (RV) of central stars (CSs) of planetary nebulae(PNe). This study is twofold: (1) searching for new close binary CSs candidatesto better understand how binarity affects the formation and evolution of PNe;and (2) extending the sample size of known RV of PNe in order to understandtheir kinematics and the dynamics of the Milky Way. As a target sample, we usedall true, possible, and likely PNe available in the literature. Then, we lookedfor their matched Gaia DR3 sources that provide measurements of variability andRV. As a result, we detected the first large collection of trustworthyphotometric variability of 26 symbiotic stars (SySts) and 82 CSs. In this CSgroup, there are 24 sources already classified as true close binary CSs in theliterature. Hence, we discovered 58 new close binary CS candidates. This closebinary (CB) sample represents more than half of what is currently available inthe literature. In addition, we identified the radial velocities for 51 PNe. Toour knowledge, 24 of these were measured for the first time. The RVmeasurements predicted by Gaia, based on the Doppler shift of the CS absorptionlines, and those derived from nebular emission lines, show satisfactoryagreement except for a few extremely high-velocity PNe.",2
4,Slow wind belt in the quiet solar corona,"['E. Antonucci', 'C. Downs', 'G. E. Capuano', 'D. Spadaro', 'R. Susino', 'D. Telloni', 'V. Andretta', 'V. Da Deppo', 'Y. De Leo', 'S. Fineschi', 'F. Frassetto', 'F. Landini', 'G. Naletto', 'G. Nicolini', 'M. Pancrazzi', 'M. Romoli', 'M. Stangalini', 'L. Teriaca', 'M. Uslenghi']",,Solar and Stellar Astrophysics (astro-ph.SR); Space Physics (physics.space-ph),"The slow solar wind belt in the quiet corona, observed with the Metiscoronagraph on board Solar Orbiter on May 15, 2020, during the activity minimumof the cycle 24, in a field of view extending from 3.8 $R_\odot$ to 7.0$R_\odot$, is formed by a slow and dense wind stream running along the coronalcurrent sheet, accelerating in the radial direction and reaching at 6.8$R_\odot$ a speed within 150 km s$^{-1}$ and 190 km s$^{-1}$, depending on theassumptions on the velocity distribution of the neutral hydrogen atoms in thecoronal plasma. The slow stream is separated by thin regions of high velocityshear from faster streams, almost symmetric relative to the current sheet, withpeak velocity within 175 km s$^{-1}$ and 230 km s$^{-1}$ at the same coronallevel. The density-velocity structure of the slow wind zone is discussed interms of the expansion factor of the open magnetic field lines that is known tobe related to the speed of the quasi-steady solar wind, and in relation to thepresence of a web of quasi separatrix layers, S-web, the potential sites ofreconnection that release coronal plasma into the wind. The parameterscharacterizing the coronal magnetic field lines are derived from 3D MHD modelcalculations. The S-web is found to coincide with the latitudinal region wherethe slow wind is observed in the outer corona and is surrounded by thin layersof open field lines expanding in a non-monotonic way.",19
5,Temperature diagnostics of chromospheric fibrils,"['M. Kriginsky', 'R. Oliver', 'D. Kuridze']",,Solar and Stellar Astrophysics (astro-ph.SR),"Context. Chromospheric fibrils are thin and elongated structures that connectnearby photospheric magnetic field concentrations of opposite polarities. Aims.We assess the possibilities and drawbacks related to the use of currentinstrumentation and inversion techniques to infer the thermodynamic structureof chromospheric fibrils. Methods. We employed spectroscopic observationsobtained in the Ca ii 854.2 nm line with the CRISP instrument at the Swedish1-m Solar Telescope and in coordination with observations in the ultraviolet Mgii h & k lines taken with the IRIS satellite. We studied the temperaturesensitivity of these chromospheric lines to properly invert their spectralprofiles with the Stockholm inversion Code and determine the temperature,line-of-sight velocity, and microturbulent velocity of manually tracedchromospheric fibrils present in the field of view. Results. Fibril-likestructures show a very particular dependence of their temperature as a functionof the position along their length. Their temperatures at the detectedfootpoints are, on average, 300 K higher than the temperature at the midpoint.The temperature variation appears to be almost symmetrical in shape, withpartially traced fibrils showing a similar trend for the temperature variation.Additionally, the response of the Ca ii 854.2 nm line core to variations of thetemperature for the inverted models of the atmosphere in fibril areas seems tobe insufficient to properly resolve the aforementioned temperature structure.Only the addition of more temperature sensitive lines such as the Mg ii h & klines would make it possible to properly infer the thermodynamic properties ofchromospheric fibrils. Comparisons between the results obtained here and inprevious studies focused on bright Ca ii K fibrils yield great similaritiesbetween these structures in terms of their temperature.",3
6,C14 Automatic Imaging Telescope Photometry of GJ1214,"['Gregory W. Henry', 'Jacob L. Bean']","arXiv only posting, contact Greg Henry for access to the data",Earth and Planetary Astrophysics (astro-ph.EP); Solar and Stellar Astrophysics (astro-ph.SR),"GJ1214b is the highest signal-to-noise sub-Neptune for atmospheric studies.Although most previous transmission spectroscopy measurements have revealed afrustratingly featureless spectrum, JWST observations are expected to give newinsights to this benchmark planet. We have performed photometric monitoring ofGJ1214 (the host star) to provide context for these observations. We find thatGJ1214 entered a period of relatively high brightness during 2021 and 2022.This implies that the JWST MIRI/LRS phase curve observation of GJ1214b in July2022 was obtained during an epoch of low activity for the spot-dominated hoststar. Like previous works, we are unable to definitively identify the star'srotation period. Nevertheless, we confirm that it is likely >50 days.",2
7,"Retrieval study of cool, directly imaged exoplanet 51 Eri b","['Niall Whiteford', 'Alistair Glasse', 'Katy L. Chubb', 'Daniel Kitzmann', 'Shrishmoy Ray', 'Mark W. Phillips', 'Beth A. Biller', 'Paul I. Palmer', 'Ken Rice', 'Ingo P. Waldmann', 'Quentin Changeat', 'Nour Skaf', 'Jason Wang', 'Billy Edwards', 'Ahmed Al-Refaie']",,Earth and Planetary Astrophysics (astro-ph.EP); Instrumentation and Methods for Astrophysics (astro-ph.IM); Solar and Stellar Astrophysics (astro-ph.SR),"Retrieval methods are a powerful analysis technique for modellingexoplanetary atmospheres by estimating the bulk physical and chemicalproperties that combine in a forward model to best-fit an observed spectrum,and they are increasingly being applied to observations of directly-imagedexoplanets. We have adapted TauREx3, the Bayesian retrieval suite, for theanalysis of near-infrared spectrophotometry from directly-imaged gas giantexoplanets and brown dwarfs. We demonstrate TauREx3's applicability tosub-stellar atmospheres by presenting results for brown dwarf benchmark GJ 570Dwhich are consistent with previous retrieval studies, whilst also exhibitingsystematic biases associated with the presence of alkali lines. We also presentresults for the cool exoplanet 51 Eri b, the first application of a freechemistry retrieval analysis to this object, using spectroscopic observationsfrom GPI and SPHERE. While our retrieval analysis is able to explainspectroscopic and photometric observations without employing cloud extinction,we conclude this may be a result of employing a flexible temperature-pressureprofile which is able to mimic the presence of clouds. We present Bayesianevidence for an ammonia detection with a 2.7$\sigma$ confidence, the firstindication of ammonia in an exoplanetary atmosphere. This is consistent withthis molecule being present in brown dwarfs of a similar spectral type. Wedemonstrate the chemical similarities between 51 Eri b and GJ 570D in relationto their retrieved molecular abundances. Finally, we show that overallretrieval conclusions for 51 Eri b can vary when employing different spectraldata and modelling components, such as temperature-pressure and cloudstructures.",15
8,Measurement of three-body chaotic absorptivity predicts chaotic outcome distribution,"['Viraj Manwadkar', 'Alessandro Alberto Trani', 'Barak Kol']","10 pages, 8 figures",Dynamical Systems (math.DS); Earth and Planetary Astrophysics (astro-ph.EP); Solar and Stellar Astrophysics (astro-ph.SR); Chaotic Dynamics (nlin.CD),"The flux-based statistical theory of the non-hierarchical three-body systempredicts that the chaotic outcome distribution reduces to the chaoticemissivity function times a known function, the asymptotic flux. Here, wemeasure the chaotic emissivity function (or equivalently, the absorptivity)through simulations. More precisely, we follow millions of scattering eventsonly up to the point when it can be decided whether the scattering is regularor chaotic. In this way, we measure a tri-variate absorptivity function. Usingit, we determine the flux-based prediction for the chaotic outcome distributionover both binary binding energy and angular momentum, and we find goodagreement with the measured distribution. This constitutes a detailedconfirmation of the flux-based theory, and demonstrates a considerablereduction in computation to determine the chaotic outcome distribution.",3
9,The effect of thermal non-equilibrium on kinetic nucleation,"['Sven Kiefer', 'David Gobrecht', 'Leen Decin', 'Christiane Helling']","13 pages, 4 figures",Earth and Planetary Astrophysics (astro-ph.EP); Astrophysics of Galaxies (astro-ph.GA); Solar and Stellar Astrophysics (astro-ph.SR),"Nucleation is considered to be the first step in dust and cloud formation inthe atmospheres of asymptotic giant branch (AGB) stars, exoplanets, and browndwarfs. In these environments dust and cloud particles grow to macroscopicsizes when gas phase species condense onto cloud condensation nuclei (CCNs).Understanding the formation processes of CCNs and dust in AGB stars isimportant because the species that formed in their outflows enrich theinterstellar medium. Although widely used, the validity of chemical and thermalequilibrium conditions is debatable in some of these highly dynamicalastrophysical environments. We aim to derive a kinetic nucleation model thatincludes the effects of thermal non-equilibrium by adopting differenttemperatures for nucleating species, and to quantify the impact of thermalnon-equilibrium on kinetic nucleation. Forward and backward rate coefficientsare derived as part of a collisional kinetic nucleation theory ansatz. Theendothermic backward rates are derived from the law of mass action in thermalnon-equilibrium. We consider elastic collisions as thermal equilibrium drivers.For homogeneous TiO2 nucleation and a gas temperature of 1250 K, we find thatdifferences in the kinetic cluster temperatures as small as 20 K increase theformation of larger TiO2 clusters by over an order of magnitude. An increase incluster temperature of around 20 K at gas temperatures of 1000 K can reduce theformation of a larger TiO2 cluster by over an order of magnitude. Our resultsconfirm and quantify the prediction of previous thermal non-equilibriumstudies. Small thermal non-equilibria can cause a significant change in thesynthesis of larger clusters. Therefore, it is important to use kineticnucleation models that include thermal non-equilibrium to describe theformation of clusters in environments where even small thermal non-equilibriacan be present.",4
